,Price,Price_Change_Pct,Weighted_Sentiment
2015-03-11,896.4299926757812,-0.0031581469344982294,0.016662800000000002
2015-03-12,907.0,0.011791224535747657,0.016662800000000002
2015-03-13,901.489990234375,-0.006074983203555706,0.016662800000000002
2015-03-14,901.489990234375,0.0,0.016662800000000002
2015-03-15,901.489990234375,0.0,0.016662800000000002
2015-03-16,912.9500122070312,0.012712311946665888,0.016662800000000002
2015-03-17,909.5800170898438,-0.003691324905117921,0.12192591499999997
2015-03-18,919.9400024414062,0.011389855930112436,0.12192591499999997
2015-03-19,914.8200073242188,-0.005565575041415416,0.17525407499999995
2015-03-20,922.489990234375,0.008384144256519344,0.14291835999999997
2015-03-21,922.489990234375,0.0,0.12192591499999997
2015-03-22,922.489990234375,0.0,0.12192591499999997
2015-03-23,921.3699951171875,-0.0012141000217280595,0.12192591499999997
2015-03-24,915.72998046875,-0.006121335270658723,-0.0071510066666666695
2015-03-25,901.510009765625,-0.015528563011386831,0.025091154111111114
2015-03-26,899.4299926757812,-0.002307259006901652,0.026841120777777783
2015-03-27,900.1900024414062,0.0008449904626417482,0.025091154111111114
2015-03-28,900.1900024414062,0.0,0.025091154111111114
2015-03-29,900.1900024414062,0.0,0.025091154111111114
2015-03-30,911.1500244140625,0.012175231832092681,0.0029382833333333335
2015-03-31,901.989990234375,-0.010053266678643924,0.032505175
2015-04-01,898.1699829101562,-0.004235088377451013,0.032505175
