date,weighted_sentiment,num_stocks,weight_percentage,sentiment_ma7
2015-07-26,0.11719557171219916,0,0.0,0.12483495001307407
2015-07-27,0.11719557171219916,0,0.0,0.11719557171219915
2015-07-28,0.3194649246463451,0,0.0,0.1508144666331774
2015-07-29,0.3194649246463451,1,0.19,0.17498681540766944
2015-07-30,0.303610276231852,1,1.54,0.20161748748190553
2015-07-31,0.3194649246463451,0,0.0,0.23051310932964067
2015-08-01,0.33531957306083826,1,4.81,0.26167368095087484
2015-08-02,0.319970893932352,2,0.51,0.2906415841251824
2015-08-03,0.3194649246463451,1,0.36,0.3195372059729175
2015-08-04,0.06410251051814574,0,0.0,0.2830568610974605
2015-08-05,0.06410251051814574,0,0.0,0.24657651622200344
2015-08-06,0.06410251051814574,0,0.0,0.21236112112004538
2015-08-07,0.06410251051814575,1,0.73,0.17588077624458834
2015-08-08,0.06410251051814574,0,0.0,0.13713548159563224
2015-08-09,0.09795666690069754,2,1.71,0.10541916344825306
2015-08-10,0.030022359357098797,1,0.66,0.06407022554978928
2015-08-11,0.001883629168662727,0,0.0,0.05518181392843457
2015-08-12,0.001883629168662727,0,0.0,0.04629340230707985
2015-08-13,0.001883629168662727,0,0.0,0.037404990685725135
2015-08-14,0.0018836291686627317,1,1.365,0.02851657906437042
2015-08-15,0.001883629168662727,0,0.0,0.019628167443015702
2015-08-16,0.001883629168662727,0,0.0,0.00590344776701073
2015-08-17,0.001883629168662727,0,0.0,0.0018836291686627198
2015-08-18,0.0649910765005546,0,0.0,0.010898978787504416
2015-08-19,0.0649910765005546,1,0.11,0.01991432840634611
2015-08-20,0.024547640806147422,1,0.73,0.023152044354558216
2015-08-21,0.10543451219496179,1,0.285,0.03794502764402951
2015-08-22,0.0649910765005546,0,0.0,0.0469603772628712
2015-08-23,0.07780657868807,1,0.36,0.057806512908500814
2015-08-24,0.05217557431303921,1,0.36,0.06499107650055459
2015-08-25,0.11825687899608384,0,0.0,0.07260047685705877
2015-08-26,0.09222598880704959,2,0.43500000000000005,0.07649117861512948
2015-08-27,0.14104161020378292,2,1.055,0.09313317424336312
