Date,MOEX,BIST,EUFN,IXG,EEM,TBCG,BGEO,CGEO,HSBK,AAZ,FTMC,AKBNK
2021-08-09,3835.11,1432.61,16.379619598388672,69.89348602294922,46.572166442871094,1285.874267578125,1567.397216796875,622.0,7.747621536254883,133.8021697998047,23453.400390625,4.3165283203125
2021-08-10,3862.32,1437.46,16.41204071044922,70.32486724853516,46.63472366333008,1303.816650390625,1589.3330078125,631.0,7.787816524505615,131.30584716796875,23572.099609375,4.380359172821045
2021-08-11,3877.37,1410.87,16.622764587402344,71.249267578125,46.759849548339844,1325.7467041015625,1575.373779296875,644.0,7.817962646484375,133.3029022216797,23756.80078125,4.276635646820068
2021-08-12,3888.86,1444.46,16.606552124023438,71.17884063720703,46.34873962402344,1297.8363037109375,1589.3330078125,651.0,8.03903579711914,132.80364990234375,23746.80078125,4.380359172821045
2021-08-13,3873.0,1447.64,16.7119140625,70.93232727050781,46.232547760009766,1297.8363037109375,1545.4615478515625,651.0,8.179719924926758,139.79330444335938,23788.5,4.372380256652832
2021-08-16,3895.31,1455.25,16.566030502319336,70.78266906738281,45.8125,1343.68896484375,1519.537841796875,652.0,8.089280128479004,137.79627990722656,23712.69921875,4.5000410079956055
2021-08-17,3943.01,1461.69,16.266157150268555,69.95510864257812,44.97239685058594,1335.7144775390625,1513.555419921875,640.0,8.069181442260742,138.79476928710938,23693.5,4.523977756500244
2021-08-18,3925.17,1449.59,16.266157150268555,69.59416198730469,45.04389572143555,1425.4266357421875,1495.6082763671875,640.0,8.089280128479004,138.79476928710938,23836.400390625,4.484083652496338
2021-08-19,3853.98,1439.86,16.047330856323242,68.79300689697266,44.275291442871094,1409.8218994140625,1459.71337890625,622.0,8.189767837524414,132.3043670654297,23606.900390625,4.44419002532959
2021-08-20,3832.7,1444.63,16.1364803314209,69.17155456542969,44.239532470703125,1405.83349609375,1471.6783447265625,625.0,8.129475593566895,133.8021697998047,23750.900390625,4.460147380828857
2021-08-23,3883.01,1459.33,16.306678771972656,69.84066009521484,44.90983581542969,1395.8631591796875,1449.7427978515625,625.0,8.39074420928955,136.7977294921875,23740.5,4.547913551330566
2021-08-24,3888.87,1465.89,16.339099884033203,70.13117980957031,45.92868423461914,1405.83349609375,1557.4266357421875,621.0,8.60176944732666,129.80807495117188,23886.0,4.555892467498779
2021-08-25,3886.64,1453.3,16.444459915161133,70.7386474609375,45.9823112487793,1375.9222412109375,1571.385498046875,620.0,8.641963958740234,132.3043670654297,23986.400390625,4.547913551330566
2021-08-26,3851.57,1448.52,16.282363891601562,70.27203369140625,45.54438018798828,1355.981201171875,1583.35009765625,622.0,8.591718673706055,130.30734252929688,23952.400390625,4.53993558883667
2021-08-27,3887.38,1458.23,16.444459915161133,71.02037811279297,46.10742950439453,1342.0225830078125,1583.35009765625,626.0,8.591718673706055,131.8051300048828,24059.69921875,4.571850299835205
2021-08-30,3928.5,1458.23,16.306678771972656,70.1575927734375,46.205745697021484,1342.0225830078125,1583.35009765625,626.0,8.591718673706055,131.8051300048828,24059.69921875,4.571850299835205
2021-08-31,3918.96,1472.07,16.29047203063965,70.1575927734375,46.84028625488281,1415.8038330078125,1665.1102294921875,624.0,8.541475296020508,131.8051300048828,24102.19921875,4.6995110511779785
2021-09-01,3971.02,1474.13,16.452564239501953,70.27203369140625,47.4390869140625,1435.7449951171875,1631.2099609375,625.0,8.722354888916016,132.80364990234375,24250.80078125,4.691532135009766
2021-09-02,3990.77,1479.12,16.452564239501953,70.43051147460938,47.22459411621094,1433.750732421875,1605.2861328125,626.0,8.893184661865234,130.8065948486328,24226.30078125,4.715468406677246
2021-09-03,4001.7,1468.67,16.452564239501953,70.28084564208984,47.47483444213867,1421.7862548828125,1583.35009765625,623.0,8.70225715637207,131.30584716796875,24194.599609375,4.6995110511779785
2021-09-06,4028.25,1474.72,16.452564239501953,70.28084564208984,47.47483444213867,1427.7685546875,1585.344482421875,627.0,8.692207336425781,131.30584716796875,24248.400390625,4.715468406677246
2021-09-07,4010.16,1454.74,16.379619598388672,69.96389770507812,47.75189208984375,1417.7979736328125,1557.4266357421875,626.0,8.591718673706055,129.30880737304688,24097.5,4.651638507843018
2021-09-08,4017.37,1433.85,16.209421157836914,69.6998062133789,47.05478286743164,1415.8038330078125,1547.4556884765625,625.0,8.641963958740234,127.81101989746094,23848.900390625,4.5000410079956055
2021-09-09,3993.56,1452.67,16.193212509155273,69.77904510498047,46.96541213989258,1445.7154541015625,1581.356201171875,615.0,8.812793731689453,127.81101989746094,23799.900390625,4.579829216003418
2021-09-10,4002.66,1438.72,16.079748153686523,69.40045928955078,46.91178512573242,1441.727294921875,1595.3153076171875,615.0,8.641963958740234,129.80807495117188,23733.599609375,4.5000410079956055
