Date,EURUSD,GBPUSD,EURGEL,USDGEL,GELRUB,GELTRY,USDAMD,USDAZN,USDRUB,USDTRY
2024-09-12,1.1010911464691162,1.3039510250091553,2.9868,2.697,33.0766,12.4572,387.27,1.695,89.2075902,33.597068400000005
2024-09-13,1.1077877283096313,1.313232183456421,2.9851,2.695,33.3981,12.4545,387.27,1.695,90.00787949999999,33.564877499999994
2024-09-16,1.1088441610336304,1.3137997388839722,3.0002,2.695,33.9176,12.4919,387.19,1.7,91.40793199999999,33.6656705
2024-09-17,1.1129536628723145,1.3210737705230713,3.004,2.703,33.8542,12.4925,387.61,1.7,91.5079026,33.7672275
2024-09-18,1.1123099327087402,1.3167423009872437,3.0187,2.715,34.4885,12.4112,387.09,1.7,93.6362775,33.696408
2024-09-19,1.1114816665649414,1.3201146125793457,3.0471,2.73,33.7678,12.3142,387.75,1.7,92.186094,33.617765999999996
2024-09-20,1.1161960363388062,1.328179955482483,3.044,2.727,33.8684,12.3793,387.27,1.7,92.3591268,33.7583511
2024-09-23,1.1160838603973389,1.331398367881775,3.0248,2.722,33.6087,12.4204,387.83,1.7,91.4828814,33.808328800000005
2024-09-24,1.1111727952957153,1.3349887132644653,3.0467,2.725,34.0579,12.405,387.36,1.7,92.8077775,33.803625
2024-09-25,1.1191190481185913,1.3427324295043945,3.0371,2.728,33.9105,12.3888,387.5,1.7,92.507844,33.7966464
2024-09-26,1.1131023168563843,1.3315792083740234,3.0512,2.73,33.9286,12.3919,387.45,1.7,92.625078,33.829887
2024-09-27,1.117717981338501,1.341381549835205,3.0477,2.73,34.5542,12.3998,387.32,1.7,94.332966,33.851454000000004
2024-09-30,1.1169815063476562,1.338329792022705,3.0397,2.73,34.0688,12.3995,387.29,1.7,93.00782400000001,33.850635
2024-10-01,1.113660216331482,1.3376137018203735,3.0217,2.73,35.1129,12.4159,387.11,1.7,95.85821700000001,33.895407
2024-10-02,1.1063904762268066,1.327404260635376,3.0187,2.733,35.0011,12.3937,387.18,1.7,95.65800630000001,33.871982100000004
2024-10-03,1.1048502922058105,1.326611876487732,3.0148,2.733,34.6718,12.2973,387.05,1.7,94.7580294,33.6085209
2024-10-04,1.103557825088501,1.3130252361297607,3.0099,2.742,34.6496,12.3691,386.99,1.7,95.0092032,33.9160722
2024-10-07,1.0974539518356323,1.3125253915786743,3.0161,2.748,35.0107,12.3369,386.93,1.7,96.2094036,33.9018012
2024-10-08,1.0975743532180786,1.3084723949432373,2.998,2.73,35.4454,12.3834,387.42,1.695,96.765942,33.806682
2024-10-09,1.0975743532180786,1.309483289718628,2.9811,2.725,35.6007,12.417,387.06,1.695,97.0119075,33.836325
2024-10-10,1.0943313837051392,1.306830883026123,2.9799,2.725,35.4538,12.3963,387.15,1.695,96.61160500000001,33.7799175
2024-10-11,1.0933860540390015,1.3062163591384888,2.9806,2.725,35.1603,12.43,387.15,1.695,95.8118175,33.87175
2024-10-14,1.0925379991531372,1.3049037456512451,2.9398,2.6948,35.0192,12.5492,387.13,1.695,94.36974015999999,33.81758416
2024-10-15,1.0909169912338257,1.3067454099655151,2.9732,2.73,35.4432,12.3937,387.2,1.695,96.759936,33.834801
2024-10-16,1.0884116888046265,1.3065917491912842,2.9544,2.72,35.5743,12.3913,387.28,1.695,96.76209600000001,33.704336
2024-10-17,1.0862481594085693,1.29902184009552,2.9462,2.72,35.5743,12.3992,387.47,1.695,96.76209600000001,33.725824
2024-10-18,1.0829542875289917,1.301574945449829,2.9578,2.722,35.5476,12.3582,387.25,1.695,96.76056720000001,33.6390204
2024-10-21,1.0868619680404663,1.3052616119384766,2.9483,2.726,35.5136,12.4245,387.16,1.695,96.8100736,33.869187
2024-10-22,1.0817828178405762,1.298296570777893,2.959,2.74,34.9495,12.3595,387.21,1.695,95.76163000000001,33.865030000000004
2024-10-23,1.079727053642273,1.2982797622680664,2.9437,2.73,35.1707,12.388,387.67,1.695,96.01601099999999,33.81924
2024-10-24,1.0780508518218994,1.291372299194336,2.9559,2.73,35.2622,12.3766,387.0,1.695,96.265806,33.788118
2024-10-25,1.0824151039123535,1.2973365783691406,2.9741,2.755,35.3089,12.2438,387.25,1.695,97.2760195,33.731669
2024-10-28,1.0796570777893066,1.295823574066162,2.9518,2.73,35.5941,12.4214,387.13,1.695,97.171893,33.910422
2024-10-29,1.0816774368286133,1.2974711656570435,2.9697,2.745,35.5249,12.3221,387.06,1.695,97.51585050000001,33.8241645
2024-10-30,1.0820636749267578,1.3014055490493774,2.9821,2.747,35.2836,12.3037,387.05,1.695,96.9240492,33.798263899999995
2024-10-31,1.0859178304672241,1.2959579229354858,2.9821,2.74,35.5426,12.3613,387.62,1.695,97.38672400000002,33.869962
