Date,TIBR,TIBR1M,TIBR3M,TIBR6M
2019-10-16,7.51,7.361,6.8897,6.7571
2019-10-17,7.53,7.3775,6.9009,6.7628
2019-10-18,7.56,7.3946,6.9123,6.7686
2019-10-21,7.53,7.4773,6.9511,6.7869
2019-10-22,7.54,7.4806,6.9588,6.7924
2019-10-23,7.55,7.4841,6.9703,6.7982
2019-10-24,8.54,7.5025,6.9819,6.8042
2019-10-25,8.3,7.5541,7.0045,6.8157
2019-10-28,8.28,7.6575,7.0691,6.8476
2019-10-29,8.31,7.6807,7.0839,6.857
2019-10-30,8.3,7.7033,7.1039,6.8665
2019-10-31,8.5,7.7302,7.1238,6.8767
2019-11-01,8.51,7.7567,7.146,6.8871
2019-11-04,8.5,7.8536,7.2208,6.9232
2019-11-05,8.51,7.9096,7.2363,6.9334
2019-11-06,8.5,7.9314,7.2596,6.9436
2019-11-07,8.5,7.9515,7.2817,6.9549
2019-11-08,8.5,7.984,7.3038,6.9661
2019-11-11,8.5,8.0812,7.3785,7.0058
2019-11-12,8.5,8.1745,7.3923,7.0155
2019-11-13,8.5,8.1876,7.4145,7.0252
2019-11-14,8.5,8.1998,7.4366,7.0368
2019-11-15,8.52,8.2114,7.4588,7.0485
2019-11-18,8.53,8.3089,7.5358,7.0871
2019-11-19,8.55,8.3909,7.5483,7.0966
2019-11-20,8.58,8.3981,7.571,7.1061
2019-11-21,8.58,8.4059,7.5941,7.1178
2019-11-22,8.57,8.44,7.6171,7.1296
2019-11-25,8.55,8.5074,7.6975,7.1771
2019-11-26,8.52,8.5266,7.7086,7.1863
2019-11-27,8.54,8.5283,7.7309,7.1952
2019-11-28,8.54,8.5306,7.766,7.2093
2019-11-29,8.53,8.5391,7.7762,7.2236
2019-12-02,8.55,8.5532,7.857,7.2664
2019-12-03,8.57,8.5551,7.8798,7.2751
2019-12-04,8.56,8.5575,7.9029,7.2868
2019-12-05,8.55,8.5595,7.9257,7.2985
2019-12-06,8.55,8.5609,7.943,7.3101
2019-12-09,8.55,8.5665,7.9951,7.3482
