Date,G0GE,G1GE,G2GE,G3GE,G4GE,GAGE,GDAM,GDAZ,GDGE,GDRU,GDTR,GJGE
2017-10-09,,,,,,,131.381,121.073,225.095,642.174,631.251,
2017-10-10,,,,,,,131.451,121.124,224.937,642.217,628.905,
2017-10-11,,,,,,,131.363,121.189,224.975,642.592,629.5,
2017-10-12,,,,,,,131.399,121.185,225.207,643.175,631.237,
2017-10-13,,,,,,,131.466,121.23,225.01,643.503,632.006,
2017-10-16,,,,,,,131.559,121.223,225.22,644.184,632.216,
2017-10-17,,,,,,,131.574,121.073,225.16,643.984,631.016,
2017-10-18,,,,,,,131.567,120.897,225.197,643.815,630.809,
2017-10-19,,,,,,,131.585,121.137,225.469,644.021,632.999,
2017-10-20,,,,,,,131.5,120.83,225.311,642.962,630.373,
2017-10-23,,,,,,,131.568,120.736,225.481,643.24,628.853,
2017-10-24,,,,,,,131.518,120.442,225.753,642.988,625.425,
2017-10-25,,,,,,,131.494,120.13,225.595,642.494,623.18,
2017-10-26,,,,,,,131.382,120.103,225.632,642.308,620.116,
2017-10-27,,,,,,,131.43,119.817,225.474,642.512,619.652,
2017-10-30,,,,,,,131.633,120.478,225.803,644.195,624.881,
2017-10-31,,,,,,,131.648,120.622,226.337,643.865,623.781,
2017-11-01,,,,,,,131.558,120.683,226.619,644.139,621.965,
2017-11-02,,,,,,,131.742,120.896,226.808,644.315,622.355,
2017-11-03,,,,,,,131.768,120.616,226.958,643.997,617.262,
2017-11-06,,,,,,,131.71,120.033,227.063,644.036,617.629,
2017-11-07,,,,,,,131.679,119.963,227.202,644.158,613.884,
2017-11-08,,,,,,,131.711,119.376,227.14,643.876,612.02,
2017-11-09,,,,,,,131.693,119.61,227.178,643.472,611.818,
2017-11-10,,,,,,,131.631,119.113,226.713,642.575,611.075,
2017-11-13,,,,,,,131.774,119.586,226.829,641.682,611.666,
2017-11-14,,,,,,,131.851,119.884,226.666,641.597,612.526,
2017-11-15,,,,,,,132.001,119.957,225.999,642.054,614.365,
2017-11-16,,,,,,,132.076,119.966,226.239,642.139,617.305,
2017-11-17,,,,,,,132.169,120.016,226.519,642.701,615.996,
2017-11-20,,,,,,,132.242,120.023,226.695,642.938,611.722,
2017-11-21,,,,,,,132.468,120.11,226.975,643.664,611.02,
2017-11-22,,,,,,,132.463,120.184,226.869,643.772,615.345,
2017-11-23,,,,,,,132.485,120.199,226.907,643.868,615.445,
2017-11-24,,,,,,,132.554,120.413,226.164,643.973,619.101,
2017-11-27,,,,,,,132.637,120.78,227.27,644.362,623.87,
2017-11-28,,,,,,,132.932,121.218,226.801,644.659,620.868,
2017-11-29,,,,,,,132.978,121.034,226.981,645.394,618.914,
2017-11-30,,,,,,,133.028,120.998,227.019,645.557,622.602,
2017-12-01,,,,,,,133.064,121.031,227.175,645.675,622.926,
2017-12-04,,,,,,,133.091,121.082,227.358,644.592,625.858,
2017-12-05,,,,,,,133.219,121.071,227.715,644.863,628.725,
2017-12-06,,,,,,,133.33,121.361,228.016,645.874,629.17,
2017-12-07,,,,,,,133.352,121.14,227.879,645.605,627.901,
2017-12-08,,,,,,,133.363,121.089,228.193,644.934,627.582,
2017-12-11,,,,,,,133.42,121.214,228.006,645.323,629.484,
2017-12-12,,,,,,,133.517,121.22,228.347,645.039,630.062,
2017-12-13,,,,,,,133.591,121.254,228.204,645.265,630.722,
2017-12-14,,,,,,,133.574,121.352,228.243,645.884,630.297,
2017-12-15,,,,,,,133.672,121.694,228.462,646.27,631.082,
2017-12-18,,,,,,,134.196,121.73,228.578,647.203,632.801,
2017-12-19,,,,,,,134.579,121.727,228.072,646.751,632.417,
2017-12-20,,,,,,,134.411,121.727,228.695,645.779,631.222,
2017-12-21,,,,,,,134.106,121.637,228.331,645.336,631.177,
2017-12-22,,,,,,,134.608,121.668,228.329,645.574,631.333,
2017-12-26,,,,,,,134.697,121.728,228.483,645.949,631.736,
2017-12-27,,,,,,,134.762,121.9,228.32,646.75,632.228,
2017-12-28,,,,,,,134.902,121.905,228.358,647.299,633.14,
2017-12-29,,,,,,,134.838,122.032,228.236,647.68,634.212,
2017-12-31,,,,,,,134.86,122.047,228.274,647.774,634.315,
2018-01-02,,,,,,,135.005,122.061,228.512,648.113,636.468,
2018-01-03,,,,,,,134.931,122.443,228.248,648.852,638.156,
2018-01-04,,,,,,,135.269,122.939,228.287,650.142,638.192,
2018-01-05,,,,,,,135.453,124.43,228.325,653.674,639.833,
2018-01-08,,,,,,,135.824,124.312,228.441,653.471,639.297,
2018-01-09,,,,,,,135.83,123.435,228.479,651.52,637.02,
2018-01-10,,,,,,,135.698,122.843,228.115,649.701,634.066,
2018-01-11,,,,,,,135.912,123.252,227.65,649.745,635.579,
2018-01-12,,,,,,,135.971,123.3,227.185,649.946,635.809,
2018-01-15,,,,,,,136.037,123.344,227.3,650.231,636.112,
2018-01-16,,,,,,,136.005,123.762,225.969,651.337,635.47,
2018-01-17,,,,,,,135.987,123.616,225.403,650.271,634.127,
2018-01-18,,,,,,,135.799,123.142,226.65,647.816,632.663,
2018-01-19,,,,,,,135.612,122.653,225.943,646.296,630.816,
2018-01-22,,,,,,,135.594,122.78,225.354,646.116,630.351,
2018-01-23,,,,,,,135.562,123.284,225.291,648.065,632.041,
2018-01-24,,,,,,,135.549,123.222,224.927,647.141,630.966,
2018-01-25,,,,,,,135.606,123.572,224.563,648.003,631.802,
2018-01-26,,,,,,,135.604,124.751,224.5,648.68,632.769,
2018-01-29,,,,,,,135.471,123.632,224.233,645.42,629.426,
2018-01-30,,,,,,,135.531,123.685,224.314,646.507,629.301,
2018-01-31,,,,,,,135.505,124.436,224.352,648.591,630.801,
2018-02-01,,,,,,,135.35,124.548,224.31,650.52,631.543,
2018-02-02,,,,,,,134.744,123.627,223.442,647.63,627.248,
2018-02-05,,,,,,,134.415,122.986,223.839,645.651,624.651,
2018-02-06,,,,,,,134.35,122.822,224.103,645.365,624.146,
2018-02-07,,,,,,,134.375,123.346,224.142,647.033,626.131,
2018-02-08,,,,,,,133.871,122.354,223.804,642.923,621.072,
2018-02-09,,,,,,,133.315,121.299,224.15,639.682,617.023,
2018-02-12,,,,,,,133.166,120.695,224.473,640.613,616.617,
2018-02-13,,,,,,,133.039,120.378,224.699,639.317,615.684,
2018-02-14,,,,,,,132.616,119.194,224.196,637.378,612.323,
2018-02-15,,,,,,,132.494,119.383,224.127,639.261,614.287,
2018-02-16,,,,,,,132.792,120.751,224.299,640.971,619.172,
2018-02-19,,,,,,,132.859,120.796,224.414,641.26,619.474,
2018-02-20,,,,,,,132.842,120.699,224.906,640.702,617.013,
2018-02-21,,,,,,,132.657,120.589,225.206,641.206,617.993,
2018-02-22,,,,,,,132.555,120.34,225.098,641.044,615.974,
2018-02-23,,,,,,,132.474,120.572,224.884,643.389,615.523,
2018-02-26,,,,,,,132.513,120.66,225.556,646.273,618.17,
2018-02-27,,,,,,,132.472,120.72,225.554,645.104,618.012,
2018-02-28,,,,,,,132.419,120.611,225.669,644.743,617.209,
2018-03-01,,,,,,,132.225,120.137,225.555,642.693,616.316,
2018-03-02,,,,,,,131.886,119.734,225.253,641.691,615.348,
2018-03-05,,,,,,,132.683,119.894,225.342,641.971,615.802,
2018-03-06,,,,,,,132.802,120.417,225.38,641.925,617.11,
2018-03-07,,,,,,,132.99,120.273,225.366,639.593,616.052,
2018-03-08,,,,,,,133.076,120.072,225.413,639.161,615.397,
2018-03-09,,,,,,,133.018,119.935,225.19,638.41,614.934,
2018-03-12,,,,,,,133.215,120.415,225.079,639.366,614.451,
2018-03-13,,,,,,,133.198,120.453,224.846,639.435,613.153,
2018-03-14,,,,,,,133.213,120.721,224.844,638.323,614.428,
2018-03-15,,,,,,,133.22,120.742,224.917,637.14,613.834,
2018-03-16,,,,,,,133.119,120.557,224.965,637.449,612.818,
2018-03-19,,,,,,,133.097,119.569,224.819,636.063,611.068,
2018-03-20,,,,,,,132.921,119.04,224.481,635.278,610.545,
2018-03-21,,,,,,,132.928,118.863,224.628,635.707,611.241,
2018-03-22,,,,,,,133.049,119.015,224.419,636.129,612.709,
2018-03-23,,,,,,,132.866,118.418,224.133,634.986,611.41,
2018-03-26,,,,,,,132.902,118.25,223.588,635.104,610.719,
2018-03-27,,,,,,,132.965,119.201,223.701,635.933,611.002,
2018-03-28,,,,,,,132.998,120.109,223.739,637.859,610.616,
2018-03-29,,,,,,,133.122,120.402,223.777,637.224,613.23,
2018-03-31,,,,,,,133.144,120.418,223.816,637.32,613.333,
2018-04-02,,,,,,,133.19,120.436,223.744,637.661,613.535,
2018-04-03,,,,,,,133.159,120.812,223.736,638.945,614.097,
2018-04-04,,,,,,,133.157,120.869,223.774,639.82,613.119,
2018-04-05,,,,,,,133.478,121.753,223.813,641.834,612.803,
2018-04-06,,,,,,,133.834,122.033,224.713,642.017,614.948,
2018-04-09,,,,,,,133.567,121.714,224.843,629.64,612.816,
