Date,EUFN,IXG,FM,EEM,TBCG,BGEO,CGEO,HSBK,AAZ,FTMC,AKBNK,MOEX,BIST
2024-08-02,20.756786346435547,83.35945892333984,27.110572814941406,39.94520950317383,35.671473228824325,52.78275292113191,12.627130012512207,0.16684684523792273,0.967401089668274,265.09845304945253,1.7356071616656505,33.902612380057725,318.5871680988859
2024-08-05,20.28589630126953,80.80467987060547,27.140085220336914,38.81214904785156,35.70884093869856,51.94099651265162,12.532129120826722,0.162604166458558,1.0677885526418684,258.7846199884778,1.6344743117516332,33.35011689322705,299.84345595531425
2024-08-06,20.32356834411621,81.5885238647461,27.18927001953125,39.03300094604492,35.32782570408657,50.858160297181456,12.481776885986328,0.16396485239928552,1.1509835243225097,260.4765136570856,1.5857331424401468,33.07384899072387,297.06992928300843
2024-08-07,20.48366928100586,81.93690490722656,27.20894432067871,39.27305603027344,35.61086108398507,50.38126286244952,12.583244171142578,0.16550165518543053,1.1543096971511841,261.00083877563475,1.594768748735591,33.49849221177868,302.8166570664208
2024-08-08,20.747365951538086,83.31106567382812,27.26796531677246,40.16606140136719,35.345296671139074,50.617409528889695,12.680377960205078,0.163723594621315,1.1348938274383544,260.0567944813892,1.6010153800801707,33.293438603445615,305.4301805268545
2024-08-09,20.898052215576172,83.55299377441406,27.26796531677246,40.38691329956055,35.65963278715498,50.88518461483531,12.747459411621094,0.16901209461790132,1.1523703502616263,262.91888989761475,1.5185274941314002,32.54668886122954,299.7769686803027
2024-08-12,20.898052215576172,83.29171752929688,27.307313919067383,40.52134323120117,35.92259073986235,52.29827942251868,13.23490066766739,0.17193571634381782,1.17303551197052,263.64227143133525,1.5537096321367012,31.30437570714121,297.2646016563724
2024-08-13,21.20884132385254,84.33685302734375,27.326988220214844,40.9726448059082,35.47093676976307,51.10767543021939,12.158209581375122,0.17587688661469542,1.123868112564087,264.92763721397375,1.5905009135626593,31.840013318452275,298.61400990194943
2024-08-14,21.378358840942383,85.30458068847656,27.297475814819336,40.751792907714844,38.56414123927011,52.51824484003213,13.046834700107576,0.1756390393874551,1.0936695754528045,269.58698706104883,1.6000606393973784,31.931024666375553,295.30982593495753
2024-08-15,21.670310974121094,86.26261901855469,27.26796531677246,41.203102111816406,39.539781412840824,55.311522534163664,12.957023668289184,0.1815064270053881,1.0776138496398926,270.6119193474762,1.6610173354769742,31.910590671975072,299.830809847403
2024-08-16,21.90575408935547,86.94969940185547,27.287639617919922,41.68320846557617,39.05621773915365,55.700800858326254,12.936577301025391,0.18174658904412352,1.1187696075439453,270.6766670028865,1.6155444533950156,31.59178282987559,294.4891771788367
2024-08-19,22.178869247436523,87.617431640625,27.317150115966797,42.08650207519531,39.58140675268398,56.59832440925936,13.309682936668395,0.1816196438420809,1.100508803129196,273.9295882612467,1.7169296178321503,30.924332898870734,302.2913402169041
2024-08-20,22.075273513793945,87.54000854492188,27.228618621826172,41.76002883911133,39.51887423993321,56.008482656045814,13.354117307662962,0.18124626584490441,1.1041828513145446,272.6188387248758,1.6920534435634196,30.416558104141973,297.508749140566
2024-08-21,22.273046493530273,87.40453338623047,27.238454818725586,41.92326736450195,39.851256780587136,56.26781941264868,13.817556762695313,0.17892542886649607,1.1080116271972655,276.18427155435086,1.6723995746198983,30.2967953806195,295.4699396142695
2024-08-22,22.25421142578125,87.54969024658203,27.18927001953125,41.404747009277344,39.112974059340196,56.649126661926275,13.433890779018402,0.17498202574227095,1.132584359049797,276.3335518798465,1.6898143664143968,29.860638628454783,297.0386266258894
2024-08-23,22.696847915649414,88.88514709472656,27.238454818725586,42.09610366821289,39.45291625907936,56.99486131688929,13.412093505859374,0.1778051683436081,1.0740153002738952,277.5347220140696,1.6366187183597396,29.096735038442574,287.3394555322555
2024-08-26,22.630924224853516,88.89482116699219,27.20894432067871,41.74082565307617,,,,,,,1.6473757819944619,30.032312442735893,284.20979761056935
2024-08-27,22.781606674194336,89.33997344970703,27.297475814819336,41.798439025878906,40.85629911335127,59.11742489930475,13.45557653903961,0.17410669480173055,1.086999536616122,279.1649519811035,1.6627577812027852,29.872606705016604,289.3831249720413
2024-08-28,22.67801284790039,89.33997344970703,27.20894432067871,41.5391731262207,40.99374061956187,60.140698891540524,13.522651147842407,0.17397473755820556,1.0871150922775268,279.2944556360459,1.6500124648918775,29.524112266286817,289.3711811107807
2024-08-29,22.715682983398438,89.95931243896484,27.238454818725586,41.558380126953125,41.52129933749675,60.77389090991055,13.510303955078125,0.17293790066798126,1.0766023262883664,277.4770978829893,1.6375776130100976,29.436318647937426,291.414961501516
2024-08-30,22.74393653869629,90.56897735595703,27.179431915283203,41.644798278808594,41.43492638099706,59.858132363792976,13.455867285728456,0.1737697319164181,1.0532968521118165,277.62930090069773,,29.230410661127483,291.414961501516
2024-09-02,,,,,40.39819727256429,60.014767133155836,13.496127395629882,0.17129214355221847,1.063410816192627,275.44309418678284,1.7350700084062192,28.36082211433896,301.1873541456942
2024-09-03,22.273046493530273,89.81414794921875,27.051551818847656,40.819007873535156,38.47014520882018,58.56616389127274,13.14198613166809,0.16651199831915164,1.0645008766651154,273.4663274858403,1.7161957434390762,28.77983781121758,297.7293126655989
2024-09-04,22.32013702392578,89.82383728027344,26.971086502075195,40.809410095214844,37.34026702185627,57.91760708780959,12.969811396598816,0.1637845650893496,1.0622393560409547,272.885351224402,1.719783797922736,29.756662432349952,296.5243905345366
2024-09-05,22.527326583862305,89.46576690673828,26.933507919311523,40.86702346801758,38.01859785013803,56.80536829846678,13.05273615717888,0.16297816481246627,1.0647247016429902,272.91785947978497,1.7090472641114853,29.729375079480505,295.6712023968579
2024-09-06,22.09410858154297,88.02387237548828,27.002368927001953,40.118045806884766,37.38920113032044,53.39178344788029,12.742630751132966,0.16338407989522238,1.0410215401649476,270.05943600177767,1.6805189330180057,29.052393487332353,290.44360877161836
2024-09-09,22.38606071472168,89.25287628173828,26.91875457763672,40.454132080078125,37.526398685517776,54.06595839884482,13.04142189145088,0.16343117694531428,1.0835018187761307,271.2156137285684,1.6377000867567988,30.24560459868979,288.7133927925355
2024-09-10,22.178869247436523,88.50772857666016,26.913835525512695,40.30049133300781,37.284027013214654,53.5496099699405,13.07138204574585,0.16068833485910544,1.0783890187740326,270.0037695691222,1.5866905717425783,29.353332529482156,285.40951208951446
2024-09-11,22.329553604125977,88.38192749023438,26.90399932861328,40.59815979003906,36.98268923269614,53.06324453066074,12.596303733587266,0.15981117393851946,1.0791225939989089,268.6335187005857,1.5573336025307185,29.132337437450445,279.8816955013158
2024-09-12,22.51791000366211,88.99159240722656,26.953182220458984,40.93423843383789,36.99770980054804,52.96302383248753,12.85695710659027,0.1622633702849089,1.1279176366329193,269.86310642096214,1.6023752152938842,29.313649142828208,283.3890114055308
