Date,US5Y,US2Y,US10Y
2024-02-16,4.288000106811523,5.2230000495910645,4.295000076293945
2024-02-20,4.250999927520752,5.2129998207092285,4.275000095367432
2024-02-21,4.302999973297119,5.235000133514404,4.324999809265137
2024-02-22,4.330999851226807,5.232999801635742,4.327000141143799
2024-02-23,4.284999847412109,5.239999771118164,4.260000228881836
2024-02-26,4.327000141143799,5.25,4.298999786376953
2024-02-27,4.322000026702881,5.244999885559082,4.315000057220459
2024-02-28,4.2729997634887695,5.239999771118164,4.27400016784668
2024-02-29,4.26200008392334,5.2230000495910645,4.251999855041504
2024-03-01,4.158999919891357,5.215000152587891,4.179999828338623
2024-03-04,4.210000038146973,5.2230000495910645,4.218999862670898
2024-03-05,4.138000011444092,5.224999904632568,4.13700008392334
2024-03-06,4.117000102996826,5.230000019073486,4.104000091552734
2024-03-07,4.084000110626221,5.228000164031982,4.0920000076293945
2024-03-08,4.061999797821045,5.228000164031982,4.089000225067139
2024-03-11,4.0879998207092285,5.239999771118164,4.104000091552734
2024-03-12,4.15500020980835,5.239999771118164,4.15500020980835
2024-03-13,4.185999870300293,5.23799991607666,4.191999912261963
2024-03-14,4.296000003814697,5.23799991607666,4.297999858856201
2024-03-15,4.322000026702881,5.23799991607666,4.303999900817871
2024-03-18,4.355999946594238,5.23799991607666,4.340000152587891
2024-03-19,4.302999973297119,5.23799991607666,4.296999931335449
2024-03-20,4.242000102996826,5.228000164031982,4.2729997634887695
2024-03-21,4.252999782562256,5.228000164031982,4.270999908447266
2024-03-22,4.199999809265137,5.21999979019165,4.2179999351501465
2024-03-25,4.232999801635742,5.2179999351501465,4.252999782562256
2024-03-26,4.224999904632568,5.2179999351501465,4.234000205993652
2024-03-27,4.188000202178955,5.215000152587891,4.196000099182129
2024-03-28,4.21999979019165,5.203000068664551,4.205999851226807
2024-04-01,4.3379998207092285,5.2179999351501465,4.328999996185303
2024-04-02,4.354000091552734,5.2129998207092285,4.364999771118164
2024-04-03,4.3379998207092285,5.210000038146973,4.355000019073486
2024-04-04,4.291999816894531,5.203000068664551,4.309000015258789
2024-04-05,4.368000030517578,5.215000152587891,4.377999782562256
2024-04-08,4.434000015258789,5.2230000495910645,4.423999786376953
2024-04-09,4.376999855041504,5.21999979019165,4.366000175476074
2024-04-10,4.614999771118164,5.243000030517578,4.559999942779541
2024-04-11,4.623000144958496,5.23799991607666,4.576000213623047
2024-04-12,4.5329999923706055,5.230000019073486,4.499000072479248
2024-04-15,4.644999980926514,5.23799991607666,4.627999782562256
2024-04-16,4.682000160217285,5.232999801635742,4.658999919891357
2024-04-17,4.617000102996826,5.239999771118164,4.585000038146973
2024-04-18,4.685999870300293,5.243000030517578,4.646999835968018
2024-04-19,4.6570000648498535,5.244999885559082,4.614999771118164
2024-04-22,4.660999774932861,5.244999885559082,4.623000144958496
2024-04-23,4.622000217437744,5.244999885559082,4.5980000495910645
2024-04-24,4.666999816894531,5.255000114440918,4.6519999504089355
2024-04-25,4.7170000076293945,5.244999885559082,4.705999851226807
2024-04-26,4.691999912261963,5.23799991607666,4.669000148773193
2024-04-29,4.638999938964844,5.243000030517578,4.613999843597412
2024-04-30,4.7230000495910645,5.244999885559082,4.685999870300293
2024-05-01,4.613999843597412,5.25,4.59499979019165
2024-05-02,4.566999912261963,5.23799991607666,4.571000099182129
2024-05-03,4.48199987411499,5.235000133514404,4.5
2024-05-06,4.482999801635742,5.239999771118164,4.488999843597412
2024-05-07,4.4710001945495605,5.243000030517578,4.4629998207092285
2024-05-08,4.500999927520752,5.244999885559082,4.492000102996826
2024-05-09,4.460000038146973,5.239999771118164,4.448999881744385
2024-05-10,4.51800012588501,5.243000030517578,4.504000186920166
2024-05-13,4.499000072479248,5.239999771118164,4.480999946594238
2024-05-14,4.458000183105469,5.235000133514404,4.445000171661377
2024-05-15,4.355999946594238,5.239999771118164,4.355999946594238
2024-05-16,4.39900016784668,5.243000030517578,4.376999855041504
2024-05-17,4.440999984741211,5.239999771118164,4.420000076293945
2024-05-20,4.456999778747559,5.239999771118164,4.436999797821045
2024-05-21,4.435999870300293,5.239999771118164,4.414000034332275
2024-05-22,4.4730000495910645,5.244999885559082,4.434000015258789
2024-05-23,4.526000022888184,5.244999885559082,4.474999904632568
2024-05-24,4.5279998779296875,5.244999885559082,4.4670000076293945
2024-05-28,4.5879998207092285,5.248000144958496,4.541999816894531
2024-05-29,4.642000198364258,5.25,4.624000072479248
2024-05-30,4.572000026702881,5.248000144958496,4.553999900817871
2024-05-31,4.5279998779296875,5.244999885559082,4.513999938964844
2024-06-03,4.416999816894531,5.243000030517578,4.4019999504089355
2024-06-04,4.3520002365112305,5.239999771118164,4.335999965667725
2024-06-05,4.306000232696533,5.239999771118164,4.289000034332275
2024-06-06,4.291999816894531,5.232999801635742,4.281000137329102
