Date,Volume
4/2/2020,"2,380,000,000"
4/3/2020,"1,570,000,000"
4/6/2020,"1,790,000,000"
4/7/2020,"2,820,000,000"
4/8/2020,"1,690,000,000"
4/9/2020,"2,850,000,000"
4/10/2020,"2,230,000,000"
4/13/2020,"1,990,000,000"
4/14/2020,"2,400,000,000"
4/15/2020,"2,440,000,000"
4/16/2020,"2,090,000,000"
4/17/2020,"2,330,000,000"
4/20/2020,"2,210,000,000"
4/21/2020,"2,230,000,000"
4/22/2020,"2,290,000,000"
4/24/2020,"2,240,000,000"
4/27/2020,"2,560,000,000"
4/28/2020,"2,480,000,000"
4/29/2020,"2,140,000,000"
4/30/2020,"2,320,000,000"
5/4/2020,"1,700,000,000"
5/5/2020,"2,040,000,000"
5/6/2020,"2,280,000,000"
5/7/2020,"2,390,000,000"
5/8/2020,"2,600,000,000"
5/11/2020,"2,090,000,000"
5/12/2020,"2,540,000,000"
5/13/2020,"2,390,000,000"
5/14/2020,"2,330,000,000"
5/15/2020,"1,880,000,000"
5/18/2020,"2,420,000,000"
5/20/2020,"2,070,000,000"
5/21/2020,"2,060,000,000"
5/22/2020,"1,570,000,000"
5/27/2020,"2,550,000,000"
5/28/2020,"2,680,000,000"
5/29/2020,"2,850,000,000"
6/1/2020,"2,840,000,000"
6/2/2020,"3,030,000,000"
6/3/2020,"2,900,000,000"
6/4/2020,"2,920,000,000"
6/5/2020,"2,000,000,000"
6/8/2020,"2,520,000,000"
6/9/2020,"2,840,000,000"
6/10/2020,"3,510,000,000"
6/11/2020,"3,450,000,000"
6/12/2020,"2,880,000,000"
6/15/2020,"2,980,000,000"
6/16/2020,"3,730,000,000"
6/17/2020,"3,200,000,000"
6/18/2020,"4,050,000,000"
6/19/2020,"4,890,000,000"
6/22/2020,"4,310,000,000"
6/23/2020,"4,700,000,000"
6/24/2020,"4,250,000,000"
6/25/2020,"3,640,000,000"
6/26/2020,"3,090,000,000"
6/29/2020,"3,740,000,000"
6/30/2020,"5,390,000,000"
7/1/2020,"5,280,000,000"
7/2/2020,"4,350,000,000"
7/3/2020,"4,560,000,000"
7/6/2020,"4,540,000,000"
7/7/2020,"7,670,000,000"
7/8/2020,"5,920,000,000"
7/9/2020,"5,270,000,000"
7/10/2020,"5,030,000,000"
7/13/2020,"4,460,000,000"
7/14/2020,"5,170,000,000"
7/16/2020,"3,860,000,000"
7/17/2020,"2,830,000,000"
7/20/2020,"3,550,000,000"
7/21/2020,"4,740,000,000"
7/22/2020,"5,160,000,000"
7/23/2020,"3,510,000,000"
7/24/2020,"3,170,000,000"
7/27/2020,"2,730,000,000"
7/28/2020,"4,090,000,000"
7/29/2020,"4,350,000,000"
7/30/2020,"1,400,000,000"
8/4/2020,"4,290,000,000"
8/5/2020,"4,570,000,000"
8/6/2020,"5,070,000,000"
8/7/2020,"6,040,000,000"
8/10/2020,"3,800,000,000"
8/11/2020,"4,700,000,000"
8/12/2020,"4,620,000,000"
8/13/2020,"3,870,000,000"
8/14/2020,"3,140,000,000"
8/17/2020,"2,790,000,000"
8/18/2020,"2,630,000,000"
8/19/2020,"4,000,000,000"
8/20/2020,"4,220,000,000"
8/21/2020,"5,660,000,000"
8/24/2020,"3,090,000,000"
8/25/2020,"3,130,000,000"
8/26/2020,"3,170,000,000"
8/27/2020,"2,900,000,000"
8/28/2020,"2,910,000,000"
8/31/2020,"2,920,000,000"
9/1/2020,"2,790,000,000"
9/2/2020,"2,610,000,000"
9/3/2020,"2,350,000,000"
9/4/2020,"2,590,000,000"
9/7/2020,"2,270,000,000"
9/8/2020,"2,390,000,000"
9/9/2020,"3,330,000,000"
9/10/2020,"4,100,000,000"
9/11/2020,"2,840,000,000"
9/14/2020,"3,090,000,000"
9/15/2020,"3,420,000,000"
9/16/2020,"2,150,000,000"
9/17/2020,"2,660,000,000"
9/18/2020,"2,690,000,000"
9/21/2020,"3,290,000,000"
9/22/2020,"2,920,000,000"
9/23/2020,"2,990,000,000"
9/24/2020,"4,090,000,000"
9/25/2020,"3,990,000,000"
9/28/2020,"3,340,000,000"
9/29/2020,"3,800,000,000"
9/30/2020,"4,310,000,000"
10/1/2020,"3,510,000,000"
10/2/2020,"3,450,000,000"
10/5/2020,"2,540,000,000"
10/6/2020,"3,710,000,000"
10/7/2020,"3,250,000,000"
10/8/2020,"3,160,000,000"
10/9/2020,"3,660,000,000"
10/12/2020,"4,250,000,000"
10/13/2020,"3,910,000,000"
10/14/2020,"5,860,000,000"
10/15/2020,"4,410,000,000"
10/16/2020,"3,950,000,000"
10/19/2020,"4,240,000,000"
10/20/2020,"4,240,000,000"
10/21/2020,"4,130,000,000"
10/22/2020,"5,670,000,000"
10/23/2020,"4,400,000,000"
10/26/2020,"5,590,000,000"
10/27/2020,"5,150,000,000"
10/28/2020,"2,520,000,000"
10/30/2020,"6,600,000,000"
11/2/2020,"5,570,000,000"
11/3/2020,"4,440,000,000"
11/4/2020,"4,690,000,000"
11/5/2020,"4,970,000,000"
11/6/2020,"4,680,000,000"
11/9/2020,"5,960,000,000"
11/10/2020,"5,130,000,000"
11/11/2020,"8,660,000,000"
11/12/2020,"8,860,000,000"
11/13/2020,"5,390,000,000"
11/16/2020,"4,340,000,000"
11/17/2020,"4,560,000,000"
11/18/2020,"6,310,000,000"
11/19/2020,"9,460,000,000"
11/20/2020,"4,810,000,000"
11/23/2020,"5,840,000,000"
11/24/2020,"6,990,000,000"
11/25/2020,"5,580,000,000"
11/26/2020,"4,250,000,000"
11/27/2020,"5,610,000,000"
11/30/2020,"5,120,000,000"
12/1/2020,"4,610,000,000"
12/2/2020,"4,570,000,000"
12/3/2020,"5,740,000,000"
12/4/2020,"5,300,000,000"
12/7/2020,"4,880,000,000"
12/8/2020,"5,310,000,000"
12/9/2020,"5,510,000,000"
12/10/2020,"5,900,000,000"
12/11/2020,"5,150,000,000"
12/14/2020,"4,630,000,000"
12/15/2020,"5,280,000,000"
12/16/2020,"5,020,000,000"
12/17/2020,"4,450,000,000"
12/18/2020,"4,460,000,000"
12/21/2020,"5,000,000,000"
12/22/2020,"4,510,000,000"
12/23/2020,"5,130,000,000"
12/24/2020,"5,260,000,000"
12/25/2020,"2,630,000,000"
12/28/2020,"2,980,000,000"
12/29/2020,"3,420,000,000"
12/30/2020,"4,190,000,000"
12/31/2020,"3,420,000,000"
1/4/2021,"5,170,000,000"
1/5/2021,"6,660,000,000"
1/6/2021,"5,330,000,000"
1/7/2021,"6,180,000,000"
1/8/2021,"5,500,000,000"
1/11/2021,"5,410,000,000"
1/12/2021,"5,170,000,000"
1/13/2021,"4,880,000,000"
