Date,Price,,,
5/26/2023,89.65,,,
5/29/2023,89.52,,,
5/30/2023,89.52,,,
5/31/2023,89.53,,,
6/1/2023,89.53,,,
6/2/2023,89.53,,,
6/5/2023,89.52,,,
6/6/2023,89.55,,,
6/7/2023,89.55,,,
6/8/2023,89.55,,,
6/9/2023,89.54,,,
6/12/2023,89.47,,,
6/13/2023,89.52,,,
6/14/2023,89.54,,,
6/15/2023,89.55,,,
6/16/2023,89.56,,,
6/19/2023,89.55,,,
6/20/2023,89.55,,,
6/21/2023,89.52,,,
6/22/2023,89.43,,,
6/23/2023,89.51,,,
6/26/2023,89.51,,,
6/27/2023,89.46,,,
6/28/2023,89.43,,,
6/29/2023,89.44,,,
6/30/2023,89.48,,,
7/3/2023,89.45,,,
7/4/2023,89.43,,,
7/5/2023,89.47,,,
7/6/2023,89.39,,,
7/7/2023,89.25,,,
7/10/2023,89.05,,,
7/11/2023,89.09,,,
7/12/2023,89.26,,,
7/13/2023,89.57,,,
7/14/2023,89.59,,,
7/17/2023,89.68,,,
7/18/2023,89.73,,,
7/19/2023,89.68,,,
7/20/2023,89.71,,,
7/21/2023,89.67,,,
7/24/2023,89.77,,,
7/25/2023,89.7,,,
7/26/2023,89.71,,,
7/27/2023,89.72,,,
7/28/2023,89.71,,,
7/31/2023,89.77,,,
8/1/2023,89.8,,,
8/2/2023,89.8,,,
8/3/2023,89.79,,,
8/4/2023,89.82,,,
8/7/2023,89.86,,,
8/8/2023,89.84,,,
8/9/2023,89.87,,,
8/10/2023,89.87,,,
8/11/2023,89.93,,,
8/14/2023,89.91,,,
8/15/2023,89.89,,,
8/16/2023,89.76,,,
8/17/2023,89.83,,,
8/18/2023,89.72,,,
8/21/2023,89.65,,,
8/22/2023,89.43,,,
8/23/2023,89.73,,,
8/24/2023,89.65,,,
8/25/2023,89.73,,,
8/28/2023,89.88,,,
8/29/2023,89.61,,,
8/30/2023,89.51,,,
8/31/2023,89.5,,,
9/1/2023,89.53,,,
9/4/2023,89.47,,,
9/5/2023,89.53,,,
9/6/2023,89.42,,,
9/7/2023,89.45,,,
9/8/2023,89.52,,,
9/11/2023,89.52,,,
9/12/2023,89.42,,,
9/13/2023,89.37,,,
9/14/2023,89.49,,,
9/15/2023,89.55,,,
9/18/2023,89.63,,,
9/19/2023,89.33,,,
9/20/2023,89.33,,,
9/21/2023,89.21,,,
9/22/2023,89.3,,,
9/25/2023,89.17,,,
9/26/2023,89.17,,,
9/27/2023,89.17,,,
9/28/2023,89.21,,,
9/29/2023,89.04,,,
10/2/2023,89.08,,,
10/3/2023,89.07,,,
10/4/2023,88.58,,,
10/5/2023,88.61,,,
10/6/2023,88.58,,,
10/9/2023,88.59,,,
10/10/2023,88.61,,,
10/11/2023,88.75,,,
10/12/2023,88.7,,,
10/13/2023,88.67,,,
10/16/2023,88.63,,,
10/17/2023,88.46,,,
10/18/2023,88.31,,,
10/19/2023,88.34,,,
10/20/2023,88.51,,,
10/23/2023,88.62,,,
10/24/2023,88.71,,,
10/25/2023,88.61,,,
10/26/2023,88.54,,,
10/27/2023,88.59,,,
10/30/2023,88.66,,,
10/31/2023,88.71,,,
11/1/2023,88.7,,,
11/2/2023,88.95,,,
11/3/2023,89.07,,,
11/6/2023,89.31,,,
11/7/2023,89.32,,,
11/8/2023,89.36,,,
11/9/2023,89.44,,,
11/10/2023,89.38,,,
11/13/2023,89.36,,,
11/14/2023,89.64,,,
11/15/2023,89.97,,,
11/16/2023,89.82,,,
11/17/2023,89.97,,,
11/20/2023,89.99,,,
11/21/2023,90.01,,,
11/22/2023,90.03,,,
11/23/2023,90.04,,,
11/24/2023,90,,,
11/27/2023,90.05,,,
11/28/2023,90.49,,,
11/29/2023,90.71,,,
11/30/2023,90.9,,,
12/1/2023,90.86,,,
12/4/2023,91.14,,,
12/5/2023,91.35,,,
12/6/2023,91.61,,,
12/7/2023,92.04,,,
12/8/2023,91.71,,,
12/11/2023,91.98,,,
12/12/2023,91.94,,,
12/13/2023,91.94,,,
12/14/2023,92.53,,,
12/15/2023,93.31,,,
12/18/2023,93.31,,,
12/19/2023,93.32,,,
12/20/2023,93.41,,,
12/21/2023,93.5,,,
