Date,Price,,,,
4/1/2019,100.62,,,,
4/2/2019,100.76,,,,
4/3/2019,100.62,,,,
4/4/2019,100.5,,,,
4/5/2019,100.62,,,,
4/8/2019,100.76,,,,
4/9/2019,100.99,,,,
4/10/2019,101.62,,,,
4/11/2019,101.5,,,,
4/12/2019,101.5,,,,
4/15/2019,101.62,,,,
4/16/2019,101.8,,,,
4/17/2019,102,,,,
4/18/2019,102,,,,
4/19/2019,102,,,,
4/22/2019,102.13,,,,
4/23/2019,102.25,,,,
4/24/2019,102.49,,,,
4/25/2019,102.37,,,,
4/26/2019,103.12,,,,
4/29/2019,103.12,,,,
4/30/2019,103.75,,,,
5/1/2019,103.87,,,,
5/2/2019,103,,,,
5/3/2019,102.87,,,,
5/6/2019,102.87,,,,
5/7/2019,102.49,,,,
5/8/2019,102,,,,
5/9/2019,102,,,,
5/10/2019,102.25,,,,
5/13/2019,102.37,,,,
5/14/2019,102.37,,,,
5/15/2019,102.63,,,,
5/16/2019,103.62,,,,
5/17/2019,103.99,,,,
5/20/2019,104.88,,,,
5/21/2019,105,,,,
5/22/2019,104.88,,,,
5/23/2019,104.26,,,,
5/24/2019,104.75,,,,
5/27/2019,104.63,,,,
5/28/2019,105,,,,
5/29/2019,104.88,,,,
5/30/2019,104.88,,,,
5/31/2019,104.21,,,,
6/3/2019,105.13,,,,
6/4/2019,105.74,,,,
6/5/2019,105.74,,,,
6/6/2019,107.38,,,,
6/7/2019,107.99,,,,
6/10/2019,107.99,,,,
6/11/2019,107.99,,,,
6/12/2019,107.62,,,,
6/13/2019,107.5,,,,
6/14/2019,107.75,,,,
6/17/2019,107.88,,,,
6/18/2019,109.13,,,,
6/19/2019,109.37,,,,
6/20/2019,112.13,,,,
6/21/2019,110.88,,,,
6/24/2019,110.75,,,,
6/25/2019,110.49,,,,
6/26/2019,109.87,,,,
6/27/2019,109.87,,,,
6/28/2019,110.51,,,,
7/1/2019,111,,,,
7/2/2019,111.5,,,,
7/3/2019,112,,,,
7/4/2019,112,,,,
7/5/2019,112,,,,
7/8/2019,111.5,,,,
7/9/2019,111.24,,,,
7/10/2019,111.24,,,,
7/11/2019,111.24,,,,
7/12/2019,111.26,,,,
7/15/2019,111.26,,,,
7/16/2019,112.03,,,,
7/17/2019,112.03,,,,
7/18/2019,112.02,,,,
7/19/2019,112,,,,
7/22/2019,112.12,,,,
7/23/2019,112.12,,,,
7/24/2019,112.62,,,,
7/25/2019,112,,,,
7/26/2019,112,,,,
7/29/2019,112,,,,
7/30/2019,112.5,,,,
7/31/2019,112.38,,,,
8/1/2019,111.88,,,,
8/2/2019,112.49,,,,
8/5/2019,112.75,,,,
8/6/2019,112.63,,,,
8/7/2019,112.37,,,,
8/8/2019,114.75,,,,
8/9/2019,115,,,,
8/12/2019,115.37,,,,
8/13/2019,115.37,,,,
8/14/2019,117.25,,,,
8/15/2019,117.74,,,,
8/16/2019,118,,,,
8/19/2019,117.01,,,,
8/20/2019,117.5,,,,
8/21/2019,117.13,,,,
8/22/2019,117.13,,,,
8/23/2019,117.26,,,,
8/26/2019,117.38,,,,
8/27/2019,117.62,,,,
8/28/2019,118.62,,,,
8/29/2019,118.74,,,,
8/30/2019,119,,,,
9/2/2019,119.25,,,,
9/3/2019,120.24,,,,
9/4/2019,120.87,,,,
9/5/2019,121.5,,,,
9/6/2019,120.37,,,,
9/9/2019,119.99,,,,
9/10/2019,119.26,,,,
9/11/2019,117.75,,,,
9/12/2019,119.63,,,,
9/13/2019,117.18,,,,
9/16/2019,117.62,,,,
9/17/2019,117.62,,,,
9/18/2019,118.37,,,,
9/19/2019,118.5,,,,
9/20/2019,119.38,,,,
9/23/2019,120.5,,,,
9/24/2019,120.37,,,,
9/25/2019,119.88,,,,
9/26/2019,119.37,,,,
9/27/2019,119.37,,,,
9/30/2019,118.99,,,,
10/1/2019,117.88,,,,
10/2/2019,118.25,,,,
10/3/2019,118.75,,,,
10/4/2019,119.25,,,,
10/7/2019,119.49,,,,
10/8/2019,119.38,,,,
10/9/2019,119.39,,,,
10/10/2019,118.87,,,,
10/11/2019,119,,,,
10/14/2019,118.37,,,,
10/15/2019,118.75,,,,
10/16/2019,118.79,,,,
10/17/2019,118.75,,,,
10/18/2019,118.9,,,,
10/21/2019,118.75,,,,
10/22/2019,118.62,,,,
10/23/2019,119.01,,,,
10/24/2019,118.63,,,,
10/25/2019,118.37,,,,
10/28/2019,118,,,,
10/29/2019,118.13,,,,
