Date,GDTR
5/14/2018,587.973
5/15/2018,572
5/16/2018,573.094
5/17/2018,571.391
5/18/2018,569.817
5/21/2018,564.432
5/22/2018,568.324
5/23/2018,571.316
5/24/2018,578.258
5/25/2018,584.604
5/28/2018,584.912
5/29/2018,592.155
5/30/2018,592.562
5/31/2018,586.4
6/1/2018,577.434
6/4/2018,578.748
6/5/2018,577.267
6/6/2018,575.349
6/7/2018,581.028
6/8/2018,579.051
6/11/2018,576.078
6/12/2018,571.763
6/13/2018,568.668
6/14/2018,571.224
6/15/2018,567.247
6/18/2018,561.182
6/19/2018,557.41
6/20/2018,564.937
6/21/2018,568.773
6/22/2018,578.477
6/25/2018,573.082
6/26/2018,571.438
6/27/2018,573.764
6/28/2018,576.725
6/29/2018,578.643
6/30/2018,578.746
7/2/2018,577.54
7/3/2018,578.547
7/4/2018,578.651
7/5/2018,581.433
7/6/2018,585.343
7/9/2018,588.694
7/10/2018,573.739
7/11/2018,567.474
7/12/2018,562.515
7/13/2018,567.701
7/16/2018,567.356
7/17/2018,571.543
7/18/2018,573.721
7/19/2018,576.424
7/20/2018,578.83
7/23/2018,580.331
7/24/2018,571.455
7/25/2018,575.647
7/26/2018,576.672
7/27/2018,575.142
7/30/2018,573.1
7/31/2018,570.951
8/1/2018,569.982
8/2/2018,561.739
8/3/2018,566.987
8/6/2018,566.656
8/7/2018,564.96
8/8/2018,563.341
8/9/2018,557.115
8/10/2018,531.825
8/13/2018,504.855
8/14/2018,523.188
8/15/2018,521.81
8/16/2018,536.469
8/17/2018,533.424
8/20/2018,531.138
8/21/2018,538.153
8/22/2018,546.617
8/23/2018,547.183
8/24/2018,544.623
8/27/2018,544.116
8/28/2018,543.23
8/29/2018,534.368
8/30/2018,525.608
8/31/2018,519.792
9/3/2018,520.105
9/4/2018,514.489
9/5/2018,522.444
9/6/2018,531.977
9/7/2018,535.755
9/10/2018,533.734
9/11/2018,533.406
9/12/2018,536.215
9/13/2018,555.583
9/14/2018,562.407
9/17/2018,557.235
9/18/2018,554.512
9/19/2018,559.447
9/20/2018,564.752
9/21/2018,563.59
9/24/2018,567.371
9/25/2018,568.54
9/26/2018,569.078
9/27/2018,573.782
9/28/2018,573.806
9/30/2018,574.015
10/1/2018,572.6
10/2/2018,567.546
10/3/2018,564.052
10/4/2018,560.043
10/5/2018,555.193
10/8/2018,555.509
10/9/2018,555.356
10/10/2018,557.582
10/11/2018,560.034
10/12/2018,565.973
10/15/2018,567.792
10/16/2018,565.713
10/17/2018,569.289
10/18/2018,568.962
10/19/2018,566.564
10/22/2018,567.43
10/23/2018,564.034
10/24/2018,567.129
10/25/2018,569.303
10/26/2018,570.278
10/29/2018,571.752
10/30/2018,572.07
10/31/2018,568.175
11/1/2018,568.386
11/2/2018,572.935
11/5/2018,576.654
11/6/2018,577.864
11/7/2018,579.646
11/8/2018,576.281
11/9/2018,576.201
11/12/2018,576.52
11/13/2018,575.496
11/14/2018,576.024
11/15/2018,574.75
11/16/2018,574.085
11/19/2018,573.964
11/20/2018,565.072
11/21/2018,566.027
11/22/2018,566.133
11/23/2018,565.171
11/26/2018,565.523
11/27/2018,560.566
11/28/2018,562.271
11/29/2018,569.114
11/30/2018,569.146
12/3/2018,573.483
12/4/2018,572.301
12/5/2018,572.408
12/6/2018,571.695
12/7/2018,575.915
12/10/2018,576.31
12/11/2018,577.947
12/12/2018,579.652
12/13/2018,581.587
12/14/2018,581.694
12/17/2018,584.526
12/18/2018,586.351
12/19/2018,595.377
12/20/2018,599.982
12/21/2018,598.178
12/24/2018,598.434
12/26/2018,598.654
12/27/2018,599.116
12/28/2018,598.866
12/31/2018,599.462
1/2/2019,596.892
1/3/2019,594.549
1/4/2019,597.452
1/7/2019,598.328
1/8/2019,591.491
1/9/2019,591.929
1/10/2019,591.887
1/11/2019,590.64
1/14/2019,587.107
1/15/2019,591.02
1/16/2019,595.923
1/17/2019,598.592
1/18/2019,605.806
1/21/2019,606.127
1/22/2019,604.264
1/23/2019,609.749
1/24/2019,613.923
1/25/2019,612.458
1/28/2019,606.941
1/29/2019,608.473
1/30/2019,611.652
1/31/2019,619.822
2/1/2019,616.548
2/4/2019,614.961
2/5/2019,621.795
2/6/2019,618.738
2/7/2019,614.63
2/8/2019,612.816
2/11/2019,609.909
2/12/2019,613.454
2/13/2019,614.581
2/14/2019,612.914
2/15/2019,613.428
2/18/2019,613.751
2/19/2019,612.796
2/20/2019,611.667
2/21/2019,610.992
2/22/2019,610.135
2/25/2019,613.503
2/26/2019,615.063
2/27/2019,616.892
2/28/2019,616.715
3/1/2019,612.228
3/4/2019,611.507
3/5/2019,610.35
3/6/2019,610.705
3/7/2019,608.439
3/8/2019,606.576
3/11/2019,607.794
3/12/2019,612.278
3/13/2019,613.823
3/14/2019,614.009
3/15/2019,615.299
3/18/2019,616.659
3/19/2019,615.672
3/20/2019,612.936
3/21/2019,610.388
3/22/2019,598.448
3/25/2019,594.552
3/26/2019,594.481
3/27/2019,585.408
3/28/2019,588.104
3/29/2019,595.134
3/31/2019,595.244
4/1/2019,602.856
4/2/2019,599.039
4/3/2019,599.775
4/4/2019,605.147
4/5/2019,604.884
4/8/2019,600.112
4/9/2019,599.097
4/10/2019,599.032
4/11/2019,592.497
4/12/2019,586.807
4/15/2019,583.984
4/16/2019,586.918
4/17/2019,593.768
4/18/2019,589.691
4/22/2019,590.129
4/23/2019,590.484
4/24/2019,592.373
4/25/2019,586.239
4/26/2019,586.997
4/29/2019,589.845
4/30/2019,592.626
5/1/2019,598
5/2/2019,597.959
5/3/2019,597.388
5/6/2019,596.88
5/7/2019,592.549
5/8/2019,588.237
5/9/2019,582.42
5/10/2019,584.277
5/13/2019,582.002
5/14/2019,587.999
5/15/2019,588.634
5/16/2019,591.547
5/17/2019,592.749
5/20/2019,594.44
5/21/2019,594.138
5/22/2019,593.031
5/23/2019,585.32
5/24/2019,583.905
5/27/2019,584.235
5/28/2019,585.422
5/29/2019,586.445
5/30/2019,592.323
5/31/2019,593.708
6/3/2019,594.893
6/4/2019,596.253
6/5/2019,600.955
6/6/2019,600.831
6/7/2019,600.897
6/10/2019,604.04
6/11/2019,602.88
6/12/2019,603.814
6/13/2019,602.602
6/14/2019,599.144
6/17/2019,598.247
6/18/2019,603.801
6/19/2019,605.258
6/20/2019,615.099
6/21/2019,610.78
6/24/2019,616.036
6/25/2019,622.386
6/26/2019,622.116
6/27/2019,626.877
6/28/2019,627.467
6/30/2019,627.688
7/1/2019,636.949
7/2/2019,635.621
7/3/2019,635.296
7/4/2019,635.406
7/5/2019,633.915
7/8/2019,624.476
7/9/2019,624.06
7/10/2019,623.375
7/11/2019,621.146
7/12/2019,614.284
7/15/2019,620.594
7/16/2019,623.705
7/17/2019,628.781
7/18/2019,628.609
7/19/2019,633.295
7/22/2019,633.046
7/23/2019,635.861
7/24/2019,638.883
7/25/2019,642.053
7/26/2019,643.748
7/29/2019,643.492
7/30/2019,643.257
7/31/2019,641.486
8/1/2019,638.588
8/2/2019,638.698
8/5/2019,635.857
8/6/2019,634.311
8/7/2019,639.732
8/8/2019,641.796
8/9/2019,643.195
8/12/2019,635.732
8/13/2019,636.203
8/14/2019,633.497
8/15/2019,631.435
8/16/2019,635.608
8/19/2019,636.46
8/20/2019,631.768
8/21/2019,631.982
8/22/2019,630.219
8/23/2019,630.688
8/26/2019,631.341
8/27/2019,631.38
8/28/2019,632.327
8/29/2019,631.199
8/30/2019,633.383
8/31/2019,633.478
9/2/2019,633.701
9/3/2019,639.837
9/4/2019,645.252
9/5/2019,645.652
9/6/2019,643.442
9/9/2019,640.644
9/10/2019,635.751
9/11/2019,634.221
9/12/2019,643.281
9/13/2019,639.398
9/16/2019,639.579
9/17/2019,640.348
9/18/2019,643.337
9/19/2019,644.347
9/20/2019,646.731
9/23/2019,648.885
9/24/2019,650.74
9/25/2019,651.116
9/26/2019,653.829
9/27/2019,657.295
9/30/2019,657.305
10/1/2019,655.563
10/2/2019,653.065
10/3/2019,656.116
10/4/2019,659.469
10/7/2019,657.775
10/8/2019,652.838
10/9/2019,650.146
10/10/2019,643.41
10/11/2019,646.06
10/14/2019,646.398
10/15/2019,642.889
10/16/2019,640.571
10/17/2019,643.5
10/18/2019,649.998
10/21/2019,645.349
10/22/2019,646.536
10/23/2019,653.343
10/24/2019,658.731
10/25/2019,664.185
10/28/2019,665.19
10/29/2019,663.227
10/30/2019,661.601
10/31/2019,662.156
11/1/2019,662.873
11/4/2019,664.549
11/5/2019,663.389
11/6/2019,664.446
11/7/2019,668.568
11/8/2019,668.843
11/11/2019,669.183
11/12/2019,669.829
11/13/2019,671.052
11/14/2019,675.203
11/15/2019,677.61
11/18/2019,680.061
11/19/2019,677.918
11/20/2019,676.481
11/21/2019,676.323
11/22/2019,676.518
11/25/2019,674.458
11/26/2019,673.876
11/27/2019,670.301
11/28/2019,670.414
11/29/2019,669.793
11/30/2019,669.906
12/2/2019,669.796
12/3/2019,669.021
12/4/2019,672.2
12/5/2019,674.711
12/6/2019,674.886
12/9/2019,674.817
12/10/2019,675.487
12/11/2019,675.634
12/12/2019,677.765
12/13/2019,680.27
12/16/2019,680.565
12/17/2019,682.676
12/18/2019,682.87
12/19/2019,682.312
12/20/2019,682.878
12/23/2019,683.387
12/24/2019,684.031
12/26/2019,684.258
12/27/2019,685.119
12/30/2019,685.207
12/31/2019,685.63
1/2/2020,689.385
1/3/2020,687.559
1/6/2020,686.872
1/7/2020,688.903
1/8/2020,690.615
1/9/2020,692.052
1/10/2020,693.303
1/13/2020,695.213
1/14/2020,698.95
1/15/2020,705.65
1/16/2020,705.788
1/17/2020,705.233
1/20/2020,705.573
1/21/2020,705.834
1/22/2020,710.997
1/23/2020,713.019
1/24/2020,715.38
1/27/2020,714.955
1/28/2020,718.629
1/29/2020,720.412
1/30/2020,720.889
1/31/2020,722.424
2/3/2020,722.262
2/4/2020,720.132
2/5/2020,720.59
2/6/2020,721.622
2/7/2020,714.185
2/10/2020,704.996
2/11/2020,710.447
2/12/2020,710.738
2/13/2020,709.522
2/14/2020,711.027
2/17/2020,711.368
2/18/2020,712.961
2/19/2020,710.353
2/20/2020,703.563
2/21/2020,706.43
