Date,GDAM
6/8/2018,131.808
6/11/2018,131.9
6/12/2018,131.729
6/13/2018,131.57
6/14/2018,131.321
6/15/2018,130.268
6/18/2018,130.455
6/19/2018,129.778
6/20/2018,130.157
6/21/2018,129.717
6/22/2018,130.173
6/25/2018,130.23
6/26/2018,129.886
6/27/2018,129.974
6/28/2018,129.994
6/29/2018,130.641
6/30/2018,130.664
7/2/2018,130.827
7/3/2018,131.14
7/4/2018,131.163
7/5/2018,131.3
7/6/2018,131.876
7/9/2018,132.084
7/10/2018,132.066
7/11/2018,132.262
7/12/2018,132.874
7/13/2018,133.311
7/16/2018,133.254
7/17/2018,133.214
7/18/2018,133.293
7/19/2018,133.307
7/20/2018,133.34
7/23/2018,133.552
7/24/2018,133.549
7/25/2018,133.786
7/26/2018,134.035
7/27/2018,134.029
7/30/2018,133.98
7/31/2018,134.01
8/1/2018,133.98
8/2/2018,133.81
8/3/2018,133.672
8/6/2018,133.67
8/7/2018,133.7
8/8/2018,133.449
8/9/2018,132.786
8/10/2018,131.567
8/13/2018,130.742
8/14/2018,130.928
8/15/2018,130.848
8/16/2018,130.914
8/17/2018,130.968
8/20/2018,130.951
8/21/2018,131.127
8/22/2018,131.366
8/23/2018,131.501
8/24/2018,131.527
8/27/2018,131.617
8/28/2018,131.71
8/29/2018,132.046
8/30/2018,132.192
8/31/2018,132.296
9/3/2018,132.364
9/4/2018,131.993
9/5/2018,131.938
9/6/2018,132.049
9/7/2018,132.1
9/10/2018,132.08
9/11/2018,132
9/12/2018,132.069
9/13/2018,132.307
9/14/2018,132.415
9/17/2018,132.239
9/18/2018,132.311
9/19/2018,132.004
9/20/2018,132.186
9/21/2018,132.342
9/24/2018,132.557
9/25/2018,132.65
9/26/2018,132.752
9/27/2018,132.827
9/28/2018,132.958
9/30/2018,133.004
10/1/2018,132.973
10/2/2018,133.017
10/3/2018,132.963
10/4/2018,132.172
10/5/2018,131.968
10/8/2018,132.038
10/9/2018,131.453
10/10/2018,131.855
10/11/2018,131.839
10/12/2018,131.974
10/15/2018,132.098
10/16/2018,132.19
10/17/2018,132.225
10/18/2018,132.267
10/19/2018,132.181
10/22/2018,132.249
10/23/2018,132.021
10/24/2018,132.058
10/25/2018,132.258
10/26/2018,132.223
10/29/2018,132.638
10/30/2018,132.637
10/31/2018,132.445
11/1/2018,132.622
11/2/2018,132.748
11/5/2018,132.765
11/6/2018,132.854
11/7/2018,132.869
11/8/2018,132.929
11/9/2018,132.901
11/12/2018,132.971
11/13/2018,133.025
11/14/2018,133.025
11/15/2018,133.216
11/16/2018,133.349
11/19/2018,133.403
11/20/2018,133.136
11/21/2018,132.941
11/22/2018,132.964
11/23/2018,132.802
11/26/2018,132.915
11/27/2018,132.634
11/28/2018,132.553
11/29/2018,132.821
11/30/2018,132.89
12/3/2018,133.142
12/4/2018,133.383
12/5/2018,133.406
12/6/2018,133.223
12/7/2018,133.349
12/10/2018,133.315
12/11/2018,133.452
12/12/2018,133.506
12/13/2018,133.617
12/14/2018,133.64
12/17/2018,133.856
12/18/2018,133.833
12/19/2018,133.938
12/20/2018,133.949
12/21/2018,134.07
12/24/2018,134.052
12/26/2018,134.099
12/27/2018,134.072
12/28/2018,134.203
12/31/2018,134.177
1/2/2019,134.085
1/3/2019,134.289
1/4/2019,134.569
1/7/2019,134.97
1/8/2019,135.08
1/9/2019,135.326
1/10/2019,135.135
1/11/2019,135.337
1/14/2019,135.352
1/15/2019,135.569
1/16/2019,135.871
1/17/2019,135.82
1/18/2019,136.855
1/21/2019,136.926
1/22/2019,137.223
1/23/2019,137.381
1/24/2019,137.674
1/25/2019,137.56
1/28/2019,137.526
1/29/2019,137.218
1/30/2019,137.279
1/31/2019,137.844
2/1/2019,137.803
2/4/2019,137.837
2/5/2019,138.247
2/6/2019,138.472
2/7/2019,138.478
2/8/2019,138.424
2/11/2019,138.397
2/12/2019,138.419
2/13/2019,138.691
2/14/2019,138.792
2/15/2019,138.672
2/18/2019,138.742
2/19/2019,138.906
2/20/2019,139.003
2/21/2019,139.023
2/22/2019,139.069
2/25/2019,139.257
2/26/2019,139.307
2/27/2019,139.524
2/28/2019,139.9
3/1/2019,139.61
3/4/2019,139.729
3/5/2019,139.572
3/6/2019,139.644
3/7/2019,139.737
3/8/2019,139.733
3/11/2019,139.837
3/12/2019,140.029
3/13/2019,140.056
3/14/2019,140.078
3/15/2019,140.213
3/18/2019,140.249
3/19/2019,140.369
3/20/2019,140.379
3/21/2019,140.675
3/22/2019,140.641
3/25/2019,140.619
3/26/2019,140.658
3/27/2019,140.69
3/28/2019,140.707
3/29/2019,140.849
3/31/2019,140.872
4/1/2019,141.114
