Date,GDGE
6/11/2018,223.135
6/12/2018,223.566
6/13/2018,223.429
6/14/2018,223.402
6/15/2018,223.061
6/18/2018,223.031
6/19/2018,221.967
6/20/2018,222.007
6/21/2018,222.046
6/22/2018,222.423
6/25/2018,222.999
6/26/2018,222.74
6/27/2018,222.206
6/28/2018,222.906
6/29/2018,223.443
6/30/2018,223.482
7/2/2018,223.439
7/3/2018,223.595
7/4/2018,223.635
7/5/2018,223.458
7/6/2018,223.955
7/9/2018,223.964
7/10/2018,224.22
7/11/2018,224.399
7/12/2018,224.405
7/13/2018,225.164
7/16/2018,225.13
7/17/2018,224.87
7/18/2018,225.086
7/19/2018,225.022
7/20/2018,224.669
7/23/2018,225.121
7/24/2018,225.181
7/25/2018,225.375
7/26/2018,225.418
7/27/2018,225.333
7/30/2018,225.758
7/31/2018,226.005
8/1/2018,225.588
8/2/2018,224.617
8/3/2018,225.193
8/6/2018,225.104
8/7/2018,225.292
8/8/2018,224.968
8/9/2018,224.554
8/10/2018,220.732
8/13/2018,221.529
8/14/2018,222.637
8/15/2018,223.383
8/16/2018,223.548
8/17/2018,223.359
8/20/2018,223.565
8/21/2018,223.63
8/22/2018,223.721
8/23/2018,223.84
8/24/2018,223.458
8/27/2018,223.693
8/28/2018,223.93
8/29/2018,223.623
8/30/2018,223.623
8/31/2018,222.524
9/3/2018,222.643
9/4/2018,222.221
9/5/2018,223.234
9/6/2018,222.326
9/7/2018,223.61
9/10/2018,223.708
9/11/2018,223.312
9/12/2018,223.351
9/13/2018,223.751
9/14/2018,223.568
9/17/2018,223.573
9/18/2018,223.92
9/19/2018,223.962
9/20/2018,223.172
9/21/2018,223.939
9/24/2018,223.9
9/25/2018,222.477
9/26/2018,223.516
9/27/2018,223.691
9/28/2018,223.835
9/30/2018,223.914
10/1/2018,224.187
10/2/2018,223.993
10/3/2018,224.037
10/4/2018,224.464
10/5/2018,224.009
10/8/2018,224.128
10/9/2018,223.795
10/10/2018,223.895
10/11/2018,223.195
10/12/2018,224.183
10/15/2018,224.094
10/16/2018,224.096
10/17/2018,224.136
10/18/2018,224.708
10/19/2018,224.976
10/22/2018,224.422
10/23/2018,224.586
10/24/2018,224.651
10/25/2018,224.99
10/26/2018,224.913
10/29/2018,225.132
10/30/2018,225.273
10/31/2018,225.417
11/1/2018,225.329
11/2/2018,225.196
11/5/2018,225.476
11/6/2018,225.92
11/7/2018,225.931
11/8/2018,225.513
11/9/2018,225.446
11/12/2018,225.569
11/13/2018,225.846
11/14/2018,226.188
11/15/2018,225.8
11/16/2018,225.785
11/19/2018,226.401
11/20/2018,226.005
11/21/2018,226.063
11/22/2018,226.104
11/23/2018,226.085
11/26/2018,226.251
11/27/2018,226.236
11/28/2018,226.24
11/29/2018,226.552
11/30/2018,226.606
12/3/2018,226.902
12/4/2018,227.179
12/5/2018,227.22
12/6/2018,227.176
12/7/2018,227.043
12/10/2018,227.273
12/11/2018,225.723
12/12/2018,227.233
12/13/2018,227.643
12/14/2018,227.684
12/17/2018,227.905
12/18/2018,227.938
12/19/2018,228.121
12/20/2018,228.114
12/21/2018,227.812
12/24/2018,228.313
12/26/2018,228.395
12/27/2018,227.779
12/28/2018,228.116
12/31/2018,228.202
1/2/2019,228.155
1/3/2019,228.658
1/4/2019,228.452
1/7/2019,229.021
1/8/2019,228.955
1/9/2019,228.979
1/10/2019,228.629
1/11/2019,228.889
1/14/2019,228.789
1/15/2019,229.021
1/16/2019,229.347
1/17/2019,229.74
1/18/2019,229.992
1/21/2019,230.115
1/22/2019,230.091
1/23/2019,230.214
1/24/2019,230.437
1/25/2019,230.182
1/28/2019,230.346
1/29/2019,230.331
1/30/2019,230.443
1/31/2019,230.999
2/1/2019,230.314
2/4/2019,231.345
2/5/2019,231.386
2/6/2019,231.389
2/7/2019,231.2
2/8/2019,231.344
2/11/2019,231.488
2/12/2019,231.755
2/13/2019,231.753
2/14/2019,231.749
2/15/2019,231.79
2/18/2019,231.913
2/19/2019,231.439
2/20/2019,231.632
2/21/2019,231.317
2/22/2019,231.396
2/25/2019,231.667
2/26/2019,231.749
2/27/2019,231.792
2/28/2019,231.643
3/1/2019,231.647
3/4/2019,231.77
3/5/2019,231.811
3/6/2019,231.886
3/7/2019,231.979
3/8/2019,231.595
3/11/2019,231.907
3/12/2019,232.21
3/13/2019,232.126
3/14/2019,232.18
3/15/2019,232.094
3/18/2019,232.468
3/19/2019,232.535
3/20/2019,232.55
3/21/2019,233.021
3/22/2019,233.062
3/25/2019,233.185
3/26/2019,233.226
3/27/2019,233.346
3/28/2019,233.295
3/29/2019,233.19
3/31/2019,233.231
4/1/2019,233.461
4/2/2019,233.598
4/3/2019,233.568
4/4/2019,233.622
4/5/2019,233.693
4/8/2019,233.979
4/9/2019,233.831
4/10/2019,233.963
4/11/2019,233.763
4/12/2019,233.954
4/15/2019,233.871
4/16/2019,234.141
4/17/2019,234.138
4/18/2019,234.129
4/22/2019,234.293
4/23/2019,234.352
4/24/2019,234.446
4/25/2019,234.397
4/26/2019,234.536
4/29/2019,234.561
4/30/2019,234.87
5/1/2019,235.411
5/2/2019,235.228
5/3/2019,235.208
5/6/2019,235.362
5/7/2019,235.045
5/8/2019,235.213
5/9/2019,234.974
5/10/2019,235.504
5/13/2019,235.631
5/14/2019,235.166
5/15/2019,235.293
5/16/2019,235.42
5/17/2019,235.507
5/20/2019,235.698
5/21/2019,235.779
5/22/2019,235.679
5/23/2019,235.628
5/24/2019,235.198
5/27/2019,235.325
5/28/2019,235.37
5/29/2019,235.411
5/30/2019,235.261
5/31/2019,234.927
6/3/2019,235.224
6/4/2019,234.972
6/5/2019,235.365
6/6/2019,235.408
6/7/2019,236.015
6/10/2019,236.291
6/11/2019,236.294
6/12/2019,236.202
6/13/2019,236.393
6/14/2019,236.43
6/17/2019,236.543
6/18/2019,236.731
6/19/2019,236.811
6/20/2019,237.21
6/21/2019,237.091
6/24/2019,236.866
6/25/2019,236.016
6/26/2019,236.021
6/27/2019,236.172
6/28/2019,236.538
6/30/2019,236.623
7/1/2019,236.998
7/2/2019,237.372
7/3/2019,237.056
7/4/2019,237.098
7/5/2019,236.907
7/8/2019,237.072
7/9/2019,237.183
7/10/2019,237.207
7/11/2019,237.321
7/12/2019,237.363
7/15/2019,237.453
7/16/2019,237.499
7/17/2019,237.536
7/18/2019,237.73
7/19/2019,237.432
7/22/2019,237.829
7/23/2019,237.884
7/24/2019,238.051
7/25/2019,238.106
7/26/2019,238.135
7/29/2019,238.254
7/30/2019,237.806
7/31/2019,237.868
8/1/2019,238.157
8/2/2019,238.199
8/5/2019,238.246
8/6/2019,238.157
8/7/2019,238.524
8/8/2019,238.608
8/9/2019,238.698
8/12/2019,237.948
8/13/2019,238.128
8/14/2019,238.009
8/15/2019,238.156
8/16/2019,238.479
8/19/2019,238.528
8/20/2019,239.003
8/21/2019,239.079
8/22/2019,238.593
8/23/2019,239.135
8/26/2019,239.609
8/27/2019,239.578
8/28/2019,239.927
8/29/2019,239.827
8/30/2019,239.931
8/31/2019,239.973
9/2/2019,240.058
9/3/2019,239.613
9/4/2019,239.626
9/5/2019,239.754
9/6/2019,239.407
9/9/2019,239.668
9/10/2019,239.549
9/11/2019,239.488
9/12/2019,239.945
9/13/2019,239.647
9/16/2019,239.835
9/17/2019,239.983
9/18/2019,239.816
9/19/2019,239.812
9/20/2019,240.345
9/23/2019,240.746
9/24/2019,240.785
9/25/2019,240.78
9/26/2019,241.093
9/27/2019,241.078
9/30/2019,241.218
10/1/2019,241.283
10/2/2019,241.191
10/3/2019,241.533
10/4/2019,241.665
10/7/2019,241.792
10/8/2019,241.665
10/9/2019,241.632
10/10/2019,241.557
10/11/2019,241.608
10/14/2019,241.735
10/15/2019,241.828
10/16/2019,241.91
10/17/2019,241.998
10/18/2019,242.136
10/21/2019,242.384
10/22/2019,242.426
10/23/2019,242.469
10/24/2019,242.511
10/25/2019,242.617
10/28/2019,242.51
10/29/2019,242.446
10/30/2019,242.446
10/31/2019,242.519
11/1/2019,242.744
11/4/2019,242.685
11/5/2019,242.866
11/6/2019,242.948
11/7/2019,242.082
11/8/2019,242.61
11/11/2019,242.741
11/12/2019,242.563
11/13/2019,242.568
11/14/2019,242.385
11/15/2019,242.699
11/18/2019,242.987
11/19/2019,242.745
11/20/2019,242.687
11/21/2019,242.709
11/22/2019,242.749
11/25/2019,242.685
11/26/2019,242.536
11/27/2019,242.621
11/28/2019,242.665
11/29/2019,242.492
11/30/2019,242.535
12/2/2019,242.553
12/3/2019,242.644
12/4/2019,242.866
12/5/2019,242.827
12/6/2019,242.71
12/9/2019,242.896
12/10/2019,242.891
12/11/2019,242.907
12/12/2019,242.892
12/13/2019,242.918
12/16/2019,243.291
12/17/2019,243.367
12/18/2019,243.011
12/19/2019,243.074
12/20/2019,243.141
12/23/2019,243.842
12/24/2019,243.647
12/26/2019,243.735
12/27/2019,243.859
12/30/2019,244.162
12/31/2019,244.184
1/2/2020,244.052
1/3/2020,244.229
1/6/2020,244.396
1/7/2020,244.298
1/8/2020,244.338
1/9/2020,244.358
1/10/2020,244.431
1/13/2020,244.594
1/14/2020,244.665
1/15/2020,244.66
1/16/2020,244.696
1/17/2020,244.747
1/20/2020,244.878
1/21/2020,244.91
1/22/2020,244.926
1/23/2020,245.044
1/24/2020,245.013
1/27/2020,245.144
1/28/2020,245.188
1/29/2020,245.232
1/30/2020,245.232
1/31/2020,245.275
2/3/2020,245.406
2/4/2020,245.498
2/5/2020,245.471
2/6/2020,245.537
2/7/2020,245.599
2/10/2020,245.712
2/11/2020,245.756
2/12/2020,245.8
2/13/2020,245.843
2/14/2020,245.944
2/17/2020,246.075
2/18/2020,246.194
2/19/2020,245.997
2/20/2020,245.921
2/21/2020,246.086
2/24/2020,246.324
2/25/2020,246.479
2/26/2020,245.973
2/27/2020,246.002
2/28/2020,245.069
2/29/2020,245.156
3/2/2020,244.899
3/3/2020,245.265
3/4/2020,245.681
3/5/2020,245.59
3/6/2020,245.565
3/9/2020,242.516
3/10/2020,242.493
3/11/2020,242.603
3/12/2020,233.685
3/13/2020,239.764
3/16/2020,238.552
3/17/2020,238.303
3/18/2020,235.099
3/19/2020,232.945
3/20/2020,233.007
3/23/2020,234.831
3/24/2020,233.819
3/25/2020,233.572
3/26/2020,235.653
3/27/2020,236.584
3/30/2020,232.492
3/31/2020,236.365
4/1/2020,235.062
4/2/2020,236.023
4/3/2020,236.189
4/6/2020,237.873
4/7/2020,237.22
4/8/2020,237.328
4/9/2020,237.102
4/13/2020,237.277
4/14/2020,239.039
4/15/2020,238.784
4/16/2020,238.579
4/17/2020,239.131
4/20/2020,238.434
4/21/2020,238.473
4/22/2020,238.414
4/23/2020,238.297
4/24/2020,238.318
4/27/2020,238.413
4/28/2020,238.621
4/29/2020,238.317
4/30/2020,238.239
4/30/2021,100
5/3/2021,100.023
5/4/2021,100.15
5/5/2021,100.183
5/6/2021,100.263
5/7/2021,100.489
5/10/2021,100.598
5/11/2021,100.557
5/12/2021,100.465
5/13/2021,100.426
5/14/2021,100.433
5/17/2021,100.456
5/18/2021,100.37
5/19/2021,100.378
5/20/2021,100.626
5/21/2021,100.726
5/24/2021,100.723
5/25/2021,100.756
5/26/2021,100.881
5/27/2021,100.794
5/28/2021,100.936
5/31/2021,100.951
6/1/2021,100.97
6/2/2021,100.983
6/3/2021,100.973
6/4/2021,101.084
6/7/2021,101.045
6/8/2021,101.083
6/9/2021,101.286
6/10/2021,101.435
6/11/2021,102.29
6/14/2021,102.32
6/15/2021,102.079
6/16/2021,102.016
6/17/2021,101.937
6/18/2021,101.994
6/21/2021,101.712
6/22/2021,101.644
