Date,GDRU
6/7/2018,623.351
6/8/2018,621.199
6/11/2018,621.242
6/12/2018,619.864
6/13/2018,619.3
6/14/2018,622.313
6/15/2018,622.068
6/18/2018,619.917
6/19/2018,618.882
6/20/2018,621.9
6/21/2018,622.508
6/22/2018,624.901
6/25/2018,625.106
6/26/2018,624.842
6/27/2018,625.68
6/28/2018,627.072
6/29/2018,630.218
6/30/2018,630.315
7/2/2018,630.547
7/3/2018,634.454
7/4/2018,634.552
7/5/2018,637.192
7/6/2018,637.175
7/9/2018,639.857
7/10/2018,641.371
7/11/2018,641.206
7/12/2018,641.754
7/13/2018,644.932
7/16/2018,643.846
7/17/2018,641.915
7/18/2018,638.878
7/19/2018,638.351
7/20/2018,638.994
7/23/2018,638.519
7/24/2018,638.881
7/25/2018,638.044
7/26/2018,639.644
7/27/2018,640.652
7/30/2018,641.841
7/31/2018,642.387
8/1/2018,640.386
8/2/2018,636.771
8/3/2018,638.489
8/6/2018,637.956
8/7/2018,637
8/8/2018,628.83
8/9/2018,627.129
8/10/2018,625.429
8/13/2018,623.551
8/14/2018,626.978
8/15/2018,626.705
8/16/2018,626.609
8/17/2018,626.807
8/20/2018,626.354
8/21/2018,626.028
8/22/2018,627.582
8/23/2018,627.293
8/24/2018,628.052
8/27/2018,628.304
8/28/2018,630.065
8/29/2018,630.031
8/30/2018,630.323
8/31/2018,629.973
9/3/2018,630.266
9/4/2018,627.031
9/5/2018,627.145
9/6/2018,626.786
9/7/2018,625.461
9/10/2018,621.699
9/11/2018,623.339
9/12/2018,625.11
9/13/2018,626.6
9/14/2018,627.694
9/17/2018,626.38
9/18/2018,626.137
9/19/2018,624.852
9/20/2018,626.528
9/21/2018,627.229
9/24/2018,628.149
9/25/2018,628.918
9/26/2018,630.712
9/27/2018,634.218
9/28/2018,636.484
9/30/2018,636.68
10/1/2018,637.191
10/2/2018,636.476
10/3/2018,636.116
10/4/2018,629.527
10/5/2018,629.277
10/8/2018,629.573
10/9/2018,627.503
10/10/2018,628.094
10/11/2018,627.742
10/12/2018,628.879
10/15/2018,630.468
10/16/2018,631.224
10/17/2018,630.333
10/18/2018,629.086
10/19/2018,628.841
10/22/2018,629.446
10/23/2018,627.945
10/24/2018,630.052
10/25/2018,629.117
10/26/2018,629.511
10/29/2018,630.15
10/30/2018,630.145
10/31/2018,629.542
11/1/2018,629.538
11/2/2018,628.952
11/5/2018,628.387
11/6/2018,628.38
11/7/2018,627.698
11/8/2018,624.628
11/9/2018,623.072
11/12/2018,623.369
11/13/2018,623.065
11/14/2018,624.931
11/15/2018,626.424
11/16/2018,625.603
11/19/2018,626.452
11/20/2018,624.541
11/21/2018,625.457
11/22/2018,625.556
11/23/2018,625.186
11/26/2018,621.108
11/27/2018,620.85
11/28/2018,621.243
11/29/2018,626.215
11/30/2018,626.06
12/3/2018,629.981
12/4/2018,630.65
12/5/2018,630.749
12/6/2018,629.132
12/7/2018,631.122
12/10/2018,631.081
12/11/2018,631.355
12/12/2018,631.926
12/13/2018,633.078
12/14/2018,633.76
12/17/2018,634.723
12/18/2018,634.979
12/19/2018,635.13
12/20/2018,637.66
12/21/2018,637.366
12/24/2018,637.615
12/26/2018,636.794
12/27/2018,636.743
12/28/2018,636.327
12/31/2018,636.683
1/2/2019,638.295
1/3/2019,643.264
1/4/2019,646.95
1/7/2019,651.507
1/8/2019,649.74
1/9/2019,649.908
1/10/2019,648.033
1/11/2019,649.103
1/14/2019,648.825
1/15/2019,650.335
1/16/2019,651.688
1/17/2019,651.225
1/18/2019,652.045
1/21/2019,652.346
1/22/2019,653.069
1/23/2019,653.806
1/24/2019,655.459
1/25/2019,655.501
1/28/2019,654.049
1/29/2019,654
1/30/2019,653.987
1/31/2019,657.756
2/1/2019,655.304
2/4/2019,654.372
2/5/2019,656.023
2/6/2019,656.421
2/7/2019,656.16
2/8/2019,656.078
2/11/2019,656.329
2/12/2019,656.754
2/13/2019,656.353
2/14/2019,652.034
2/15/2019,653.832
2/18/2019,654.133
2/19/2019,655.67
2/20/2019,657.056
2/21/2019,656.997
2/22/2019,657.989
2/25/2019,659.948
2/26/2019,659.905
2/27/2019,659.873
2/28/2019,661.416
3/1/2019,659.938
3/4/2019,660.609
3/5/2019,660.28
3/6/2019,661.202
3/7/2019,662.223
3/8/2019,661.788
3/11/2019,663.67
3/12/2019,664.866
3/13/2019,664.722
3/14/2019,664.709
3/15/2019,664.744
3/18/2019,665.895
3/19/2019,666.262
3/20/2019,665.666
3/21/2019,667.426
3/22/2019,668.187
3/25/2019,669.747
3/26/2019,670.814
3/27/2019,670.92
3/28/2019,670.991
3/29/2019,669.876
3/31/2019,669.974
4/1/2019,669.501
4/2/2019,670.865
4/3/2019,670.73
4/4/2019,670.747
4/5/2019,671.039
4/8/2019,671.8
4/9/2019,673.539
4/10/2019,674.63
4/11/2019,674.603
4/12/2019,673.93
4/15/2019,674.676
4/16/2019,675.318
4/17/2019,675.495
4/18/2019,675.743
4/22/2019,675.259
4/23/2019,676.681
4/24/2019,678.136
4/25/2019,677.794
4/26/2019,678.685
4/29/2019,680.457
4/30/2019,682.161
5/1/2019,682.742
5/2/2019,680.14
5/3/2019,679.812
5/6/2019,680.048
5/7/2019,679.327
5/8/2019,677.521
5/9/2019,676.87
5/10/2019,679.056
5/13/2019,678.841
5/14/2019,678.645
5/15/2019,680.608
5/16/2019,683.607
5/17/2019,684.57
5/20/2019,688.129
5/21/2019,688.73
5/22/2019,688.81
5/23/2019,687.209
5/24/2019,688.44
5/27/2019,688.74
5/28/2019,690.61
5/29/2019,689.655
5/30/2019,690.496
5/31/2019,690.058
6/3/2019,691.291
6/4/2019,693.361
6/5/2019,697.323
6/6/2019,698.812
6/7/2019,701.078
6/10/2019,701.768
6/11/2019,701.592
6/12/2019,700.93
6/13/2019,700.861
6/14/2019,701.829
6/17/2019,702.366
6/18/2019,706.74
6/19/2019,708.048
6/20/2019,717.323
6/21/2019,712.988
6/24/2019,712.285
6/25/2019,712.22
6/26/2019,710.59
6/27/2019,711.04
6/28/2019,712.932
6/30/2019,713.132
7/1/2019,716.273
7/2/2019,717.123
7/3/2019,718.822
7/4/2019,718.922
7/5/2019,716.965
7/8/2019,717.116
7/9/2019,715.855
7/10/2019,715.23
7/11/2019,715.507
7/12/2019,714.794
7/15/2019,717.111
7/16/2019,717.944
7/17/2019,718.976
7/18/2019,718.522
7/19/2019,718.464
7/22/2019,719.224
7/23/2019,719.945
7/24/2019,720.483
7/25/2019,721.195
7/26/2019,721.208
7/29/2019,721.38
7/30/2019,721.156
7/31/2019,720.595
8/1/2019,719.674
8/2/2019,720.181
8/5/2019,721.162
8/6/2019,721.458
8/7/2019,727.447
8/8/2019,728.28
8/9/2019,730.497
8/12/2019,731.201
8/13/2019,731.667
8/14/2019,737.541
8/15/2019,739.517
8/16/2019,739.738
8/19/2019,737.451
8/20/2019,739.376
8/21/2019,738.573
8/22/2019,738.869
8/23/2019,739.461
8/26/2019,739.88
8/27/2019,742.39
8/28/2019,745.407
8/29/2019,745.246
8/30/2019,746.403
8/31/2019,746.503
9/2/2019,746.703
9/3/2019,751.364
9/4/2019,754.963
9/5/2019,754.203
9/6/2019,752.899
9/9/2019,750.422
9/10/2019,747.636
9/11/2019,745.256
9/12/2019,749.269
9/13/2019,742.318
9/16/2019,744.292
9/17/2019,745.02
9/18/2019,747.49
9/19/2019,747.458
9/20/2019,750.947
9/23/2019,754.614
9/24/2019,752.929
9/25/2019,750.611
9/26/2019,751.221
9/27/2019,750.481
9/30/2019,748.996
10/1/2019,747.991
10/2/2019,747.218
10/3/2019,748.366
10/4/2019,751.217
10/7/2019,751.99
10/8/2019,751.542
10/9/2019,751.221
10/10/2019,749.753
10/11/2019,748.917
10/14/2019,749.221
10/15/2019,750.077
10/16/2019,750.557
10/17/2019,750.517
10/18/2019,751.154
10/21/2019,750.647
10/22/2019,751.366
10/23/2019,751.932
10/24/2019,752.303
10/25/2019,752.155
10/28/2019,750.977
10/29/2019,751.808
10/30/2019,752.456
10/31/2019,756.833
11/1/2019,758.626
11/4/2019,757.581
11/5/2019,754.146
11/6/2019,755.049
11/7/2019,753.249
11/8/2019,753.966
11/11/2019,754.27
11/12/2019,754.621
11/13/2019,755.145
11/14/2019,757.916
11/15/2019,758.101
11/18/2019,760.248
11/19/2019,760.902
11/20/2019,763.981
11/21/2019,766.896
11/22/2019,767.643
11/25/2019,767.934
11/26/2019,769.018
11/27/2019,770.54
11/28/2019,770.641
11/29/2019,771.382
11/30/2019,771.483
12/2/2019,768.698
12/3/2019,770.478
12/4/2019,773.155
12/5/2019,773.428
12/6/2019,773.837
12/9/2019,776.332
12/10/2019,776.868
12/11/2019,779.539
12/12/2019,781.565
12/13/2019,782.385
12/16/2019,783.71
12/17/2019,787.345
12/18/2019,785.984
12/19/2019,781.936
12/20/2019,781.528
12/23/2019,782.595
12/24/2019,782.681
12/26/2019,782.884
12/27/2019,783.84
12/30/2019,783.02
12/31/2019,783.46
1/2/2020,781.344
1/3/2020,778.86
1/6/2020,778.74
1/7/2020,779.214
1/8/2020,780.191
1/9/2020,779.892
1/10/2020,780.942
1/13/2020,782.873
1/14/2020,783.318
1/15/2020,784.839
1/16/2020,786.465
1/17/2020,786.078
1/20/2020,786.385
1/21/2020,787.736
1/22/2020,788.839
1/23/2020,789.644
1/24/2020,789.776
1/27/2020,789.782
1/28/2020,791.598
1/29/2020,793.464
1/30/2020,798.207
1/31/2020,801.319
2/3/2020,800.371
2/4/2020,796.408
2/5/2020,795.771
2/6/2020,795.25
2/7/2020,794.877
2/10/2020,797.903
2/11/2020,802.651
2/12/2020,801.99
2/13/2020,802.164
2/14/2020,803.99
2/17/2020,804.297
2/18/2020,805.297
2/19/2020,806.219
2/20/2020,808.168
2/21/2020,812.993
2/24/2020,815.83
2/25/2020,814.274
2/26/2020,811.428
2/27/2020,806.273
2/28/2020,796.872
2/29/2020,797.076
3/2/2020,800.487
3/3/2020,811.629
3/4/2020,822.079
3/5/2020,820.893
3/6/2020,816.579
3/9/2020,787.503
3/10/2020,792.748
3/11/2020,792.067
3/12/2020,752.003
3/13/2020,762.401
3/16/2020,752.977
3/17/2020,750.68
3/18/2020,703.079
3/19/2020,705.825
3/20/2020,731.983
3/23/2020,727.667
3/24/2020,751.141
3/25/2020,768.38
3/26/2020,777.529
3/27/2020,773.024
3/30/2020,755.14
3/31/2020,762.914
4/1/2020,756.906
4/2/2020,769.487
4/3/2020,779.013
4/6/2020,782.428
4/7/2020,785.484
4/8/2020,780.258
4/9/2020,784.821
4/13/2020,785.234
4/14/2020,788.203
4/15/2020,781.564
4/16/2020,783.472
4/17/2020,784.171
4/20/2020,780.015
4/21/2020,769.598
4/22/2020,772.46
4/23/2020,780.115
4/24/2020,781.652
4/27/2020,781.869
4/28/2020,778.77
4/29/2020,781.544
4/30/2020,786.337
5/1/2020,783.578
5/4/2020,781.943
5/5/2020,788.061
5/6/2020,788.034
5/7/2020,790.805
5/8/2020,789.651
5/11/2020,794.264
5/12/2020,797.817
5/13/2020,798.605
5/14/2020,797.509
5/15/2020,801.339
5/18/2020,809.661
5/19/2020,814.412
